filename,compound,neg,neu,pos,VERB,NOUN,PRON,ADJ,ADV,ADP,CONJ,DET,NUM,PRT,X,.,perc_not_in_aspell,avg_suggestion_length,entities_per_sentence,entities_per_word,avg_tree_height
clueweb12-0200wb-16-11807,0.11,0.02,0.92,0.06,0.16,0.31,0.04,0.06,0.04,0.10,0.03,0.12,0.02,0.03,0.00,0.09,0.02,25.45,0.55,0.03,2.37
clueweb12-0500wb-64-03549,0.05,0.05,0.88,0.07,0.17,0.26,0.06,0.08,0.06,0.09,0.04,0.09,0.02,0.03,0.00,0.10,0.07,26.95,0.67,0.03,2.43
clueweb12-0504wb-25-17837,0.03,0.09,0.81,0.10,0.13,0.35,0.01,0.03,0.06,0.11,0.06,0.10,0.00,0.01,0.00,0.15,0.03,14.80,1.86,0.09,2.71
clueweb12-0901tw-11-07945,-0.02,0.01,0.98,0.01,0.13,0.38,0.01,0.10,0.03,0.09,0.04,0.09,0.01,0.00,0.00,0.12,0.11,26.27,1.00,0.05,2.71
clueweb12-0110wb-39-23970,-0.07,0.07,0.89,0.03,0.17,0.25,0.02,0.12,0.06,0.09,0.03,0.11,0.01,0.02,0.00,0.13,0.03,20.78,0.23,0.02,2.20
clueweb12-1020wb-46-18869,-0.19,0.09,0.88,0.03,0.12,0.30,0.00,0.17,0.00,0.11,0.03,0.08,0.02,0.01,0.00,0.15,0.11,26.96,0.90,0.04,2.90
clueweb12-0605wb-58-07578,0.01,0.03,0.95,0.03,0.11,0.29,0.01,0.10,0.02,0.12,0.04,0.12,0.02,0.01,0.00,0.15,0.06,20.71,0.16,0.01,2.14
clueweb12-0006wb-10-18231,0.04,0.03,0.93,0.04,0.14,0.26,0.02,0.09,0.04,0.10,0.04,0.12,0.03,0.02,0.00,0.13,0.06,27.62,0.51,0.02,2.37
clueweb12-1913wb-50-07012,0.06,0.01,0.96,0.03,0.09,0.45,0.00,0.08,0.01,0.11,0.03,0.05,0.07,0.01,0.00,0.09,0.14,36.02,2.25,0.07,2.75
clueweb12-1904wb-31-16516,-0.16,0.09,0.86,0.05,0.14,0.32,0.01,0.09,0.03,0.10,0.05,0.08,0.02,0.02,0.00,0.14,0.09,25.41,0.96,0.05,2.50
clueweb12-0809wb-95-01422,0.26,0.02,0.87,0.11,0.16,0.22,0.10,0.06,0.07,0.08,0.05,0.09,0.01,0.03,0.00,0.14,0.10,37.89,0.43,0.02,2.31
clueweb12-1710wb-98-11378,-0.13,0.10,0.85,0.05,0.12,0.30,0.01,0.07,0.02,0.12,0.07,0.09,0.03,0.02,0.00,0.14,0.03,35.60,1.16,0.05,2.61
clueweb12-1313wb-55-17069,0.43,0.00,0.85,0.15,0.13,0.33,0.05,0.10,0.02,0.10,0.07,0.07,0.02,0.02,0.00,0.09,0.06,41.27,0.22,0.01,2.22
clueweb12-1806wb-17-29202,-0.06,0.06,0.90,0.04,0.18,0.28,0.03,0.07,0.04,0.11,0.04,0.11,0.01,0.02,0.00,0.12,0.02,36.08,0.33,0.02,2.22
clueweb12-0302wb-07-13254,0.01,0.10,0.80,0.10,0.17,0.25,0.04,0.09,0.04,0.12,0.03,0.10,0.02,0.04,0.00,0.09,0.04,31.64,0.35,0.02,2.25
clueweb12-0101wb-51-15414,0.02,0.08,0.84,0.08,0.17,0.25,0.05,0.07,0.05,0.10,0.03,0.11,0.01,0.04,0.00,0.10,0.03,42.31,0.55,0.03,2.36
clueweb12-1215wb-77-29518,0.27,0.04,0.77,0.19,0.17,0.29,0.05,0.08,0.03,0.06,0.04,0.05,0.01,0.03,0.00,0.18,0.12,30.13,0.81,0.05,2.38
clueweb12-0611wb-34-21932,-0.11,0.04,0.94,0.01,0.10,0.39,0.01,0.10,0.02,0.08,0.02,0.10,0.01,0.02,0.00,0.15,0.20,29.16,1.62,0.04,2.68
clueweb12-0003wb-60-27106,0.11,0.03,0.91,0.06,0.09,0.36,0.01,0.13,0.04,0.09,0.02,0.09,0.01,0.01,0.00,0.14,0.09,21.74,1.89,0.08,2.56
clueweb12-0200wb-90-11609,-0.09,0.06,0.92,0.02,0.16,0.28,0.04,0.08,0.04,0.11,0.04,0.10,0.01,0.02,0.00,0.12,0.05,23.03,0.26,0.01,2.23
clueweb12-1700wb-92-06878,0.06,0.03,0.93,0.04,0.16,0.27,0.03,0.09,0.05,0.08,0.06,0.07,0.00,0.03,0.00,0.15,0.04,27.68,0.42,0.02,2.31
clueweb12-1010wb-73-12488,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0300wb-24-15705,0.06,0.05,0.85,0.10,0.20,0.17,0.11,0.06,0.08,0.10,0.03,0.08,0.02,0.03,0.00,0.10,0.04,41.93,0.13,0.01,2.12
clueweb12-0410wb-39-28694,0.05,0.04,0.81,0.09,0.19,0.16,0.11,0.09,0.08,0.09,0.05,0.09,0.01,0.02,0.00,0.11,0.06,29.07,0.00,0.00,2.00
clueweb12-0000wb-53-07587,-0.00,0.08,0.83,0.10,0.15,0.25,0.07,0.05,0.06,0.09,0.03,0.10,0.01,0.03,0.00,0.17,0.10,37.46,0.40,0.02,2.22
clueweb12-0012wb-95-26344,0.08,0.04,0.90,0.06,0.16,0.25,0.03,0.10,0.06,0.10,0.04,0.10,0.01,0.03,0.00,0.11,0.03,34.84,0.26,0.01,2.18
clueweb12-0611wb-16-28677,-0.18,0.09,0.87,0.04,0.18,0.31,0.03,0.06,0.04,0.10,0.04,0.11,0.01,0.02,0.00,0.10,0.02,27.92,0.85,0.03,2.35
clueweb12-0106wb-46-13094,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1414wb-84-10394,-0.08,0.10,0.82,0.07,0.13,0.29,0.02,0.11,0.04,0.13,0.03,0.10,0.03,0.02,0.00,0.11,0.07,27.36,0.78,0.03,2.51
clueweb12-0300wb-81-00811,0.36,0.01,0.83,0.16,0.12,0.34,0.02,0.13,0.02,0.08,0.05,0.07,0.01,0.02,0.00,0.13,0.10,23.72,1.08,0.05,2.59
clueweb12-1813wb-27-19918,0.25,0.06,0.77,0.17,0.17,0.27,0.06,0.09,0.06,0.08,0.03,0.10,0.01,0.03,0.00,0.10,0.04,40.86,0.44,0.02,2.29
clueweb12-1608wb-12-24139,-0.24,0.14,0.80,0.06,0.12,0.28,0.01,0.13,0.03,0.12,0.04,0.07,0.05,0.01,0.00,0.14,0.10,27.54,0.47,0.02,2.32
clueweb12-0814wb-30-01089,0.53,0.06,0.65,0.29,0.17,0.25,0.04,0.14,0.04,0.09,0.07,0.04,0.00,0.04,0.00,0.11,0.05,25.14,0.57,0.03,2.43
clueweb12-1601wb-95-10775,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0004wb-13-03710,0.07,0.03,0.90,0.05,0.13,0.27,0.02,0.11,0.03,0.11,0.04,0.09,0.04,0.03,0.00,0.13,0.09,32.14,0.36,0.01,2.19
clueweb12-0907wb-23-13012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1814wb-71-09655,-0.10,0.07,0.90,0.03,0.17,0.28,0.05,0.10,0.05,0.09,0.03,0.06,0.02,0.02,0.00,0.11,0.12,21.07,0.48,0.02,2.28
clueweb12-0103wb-07-18665,-0.00,0.05,0.91,0.05,0.16,0.31,0.01,0.12,0.03,0.11,0.04,0.06,0.01,0.02,0.00,0.12,0.10,20.03,0.91,0.04,2.61
clueweb12-0510wb-33-01754,-0.09,0.06,0.92,0.02,0.06,0.30,0.01,0.09,0.03,0.12,0.02,0.08,0.03,0.01,0.00,0.26,0.10,41.84,0.18,0.02,2.18
clueweb12-0500wb-17-04662,0.07,0.08,0.80,0.12,0.19,0.19,0.10,0.08,0.03,0.13,0.03,0.12,0.00,0.02,0.00,0.11,0.02,22.29,0.07,0.00,2.07
clueweb12-1200tw-05-11325,0.10,0.08,0.80,0.12,0.15,0.30,0.03,0.08,0.06,0.10,0.03,0.11,0.01,0.02,0.00,0.11,0.05,36.80,1.00,0.03,2.63
clueweb12-0202wb-90-18349,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1611wb-69-18169,-0.20,0.16,0.80,0.04,0.11,0.24,0.01,0.07,0.03,0.14,0.03,0.06,0.07,0.02,0.00,0.22,0.07,38.60,0.56,0.03,2.46
clueweb12-0407wb-97-30010,-0.21,0.10,0.87,0.03,0.13,0.35,0.01,0.07,0.03,0.08,0.04,0.10,0.02,0.02,0.00,0.15,0.06,24.48,0.71,0.03,2.48
clueweb12-0112wb-60-18466,0.47,0.03,0.77,0.21,0.10,0.36,0.01,0.14,0.01,0.12,0.09,0.02,0.00,0.07,0.00,0.08,0.12,30.64,0.50,0.02,2.50
clueweb12-0106wb-60-01428,-0.09,0.09,0.85,0.06,0.16,0.30,0.03,0.11,0.04,0.13,0.02,0.08,0.02,0.03,0.00,0.09,0.05,33.61,0.76,0.03,2.47
clueweb12-1814wb-45-24536,0.14,0.01,0.89,0.10,0.13,0.34,0.05,0.13,0.02,0.11,0.03,0.03,0.02,0.01,0.00,0.13,0.10,28.89,1.29,0.05,2.43
clueweb12-0403wb-48-23494,0.38,0.00,0.85,0.15,0.22,0.28,0.09,0.04,0.03,0.07,0.01,0.10,0.03,0.03,0.00,0.10,0.06,25.00,1.50,0.09,2.50
clueweb12-1411wb-06-13350,0.13,0.05,0.81,0.14,0.19,0.20,0.11,0.07,0.07,0.08,0.04,0.07,0.05,0.03,0.00,0.09,0.07,36.75,0.57,0.03,2.40
clueweb12-0006wb-00-13756,-0.66,0.27,0.69,0.04,0.13,0.28,0.04,0.13,0.05,0.10,0.03,0.10,0.01,0.02,0.00,0.11,0.03,25.03,0.28,0.01,2.28
clueweb12-0100wb-85-20019,-0.07,0.13,0.77,0.10,0.20,0.16,0.13,0.06,0.07,0.10,0.05,0.07,0.01,0.03,0.00,0.12,0.02,31.76,0.10,0.01,2.07
clueweb12-0507wb-41-32708,0.03,0.03,0.93,0.04,0.18,0.27,0.02,0.09,0.05,0.10,0.04,0.11,0.01,0.03,0.00,0.10,0.09,16.95,0.60,0.02,2.39
clueweb12-1218wb-02-09570,0.23,0.04,0.87,0.10,0.20,0.35,0.04,0.04,0.01,0.08,0.01,0.12,0.02,0.04,0.00,0.09,0.03,20.67,0.20,0.01,2.20
clueweb12-0013wb-57-06376,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0308wb-86-06012,-0.12,0.14,0.78,0.08,0.20,0.19,0.09,0.08,0.10,0.08,0.04,0.08,0.01,0.04,0.00,0.09,0.04,38.72,0.15,0.01,2.15
clueweb12-0000wb-06-26375,-0.00,0.06,0.91,0.03,0.11,0.34,0.00,0.17,0.05,0.10,0.03,0.04,0.02,0.02,0.00,0.12,0.17,13.19,1.15,0.05,2.54
clueweb12-1905wb-15-16341,0.12,0.05,0.85,0.11,0.18,0.22,0.06,0.09,0.05,0.12,0.03,0.10,0.01,0.04,0.00,0.10,0.02,13.57,0.39,0.02,2.34
clueweb12-0001wb-32-19915,0.13,0.00,0.92,0.08,0.12,0.31,0.06,0.06,0.02,0.06,0.06,0.10,0.04,0.02,0.00,0.12,0.08,24.50,0.67,0.04,2.33
clueweb12-0500wb-97-09345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1216wb-84-10021,0.07,0.06,0.86,0.08,0.13,0.32,0.03,0.11,0.04,0.11,0.05,0.07,0.02,0.02,0.00,0.12,0.06,21.63,0.74,0.03,2.39
clueweb12-0011wb-57-20694,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0405wb-09-07430,-0.01,0.09,0.78,0.13,0.20,0.24,0.08,0.07,0.07,0.07,0.04,0.08,0.01,0.04,0.00,0.10,0.10,28.69,0.35,0.02,2.33
clueweb12-0301tw-48-14686,0.16,0.05,0.81,0.14,0.16,0.26,0.06,0.09,0.06,0.10,0.04,0.07,0.02,0.03,0.00,0.12,0.04,33.09,0.40,0.02,2.29
clueweb12-0412wb-00-05160,0.04,0.02,0.94,0.04,0.12,0.29,0.01,0.15,0.05,0.11,0.02,0.15,0.00,0.02,0.00,0.08,0.10,14.59,0.45,0.03,2.35
clueweb12-0406wb-85-29507,-0.23,0.05,0.95,0.00,0.19,0.30,0.07,0.09,0.03,0.09,0.04,0.07,0.00,0.01,0.00,0.11,0.08,38.28,1.00,0.03,2.43
clueweb12-0906wb-36-05024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1704wb-03-25953,-0.17,0.09,0.87,0.04,0.15,0.30,0.08,0.09,0.05,0.10,0.03,0.06,0.01,0.04,0.00,0.10,0.04,27.43,0.88,0.03,2.50
clueweb12-0604wb-06-08088,0.05,0.06,0.86,0.08,0.14,0.31,0.03,0.12,0.03,0.10,0.05,0.07,0.01,0.02,0.00,0.12,0.04,19.76,0.50,0.03,2.41
clueweb12-0607wb-73-02201,0.13,0.03,0.91,0.06,0.11,0.34,0.01,0.08,0.02,0.11,0.05,0.07,0.04,0.03,0.00,0.13,0.13,29.90,1.64,0.05,2.61
clueweb12-0308wb-71-18290,-0.16,0.11,0.83,0.05,0.18,0.29,0.05,0.08,0.04,0.10,0.04,0.09,0.01,0.01,0.00,0.11,0.02,32.40,0.21,0.01,2.21
clueweb12-0205wb-03-10114,0.05,0.04,0.88,0.07,0.18,0.24,0.02,0.10,0.07,0.11,0.04,0.09,0.01,0.02,0.00,0.11,0.05,22.69,0.38,0.02,2.25
clueweb12-0802wb-00-09890,-0.02,0.07,0.87,0.06,0.18,0.26,0.07,0.07,0.06,0.09,0.03,0.08,0.02,0.03,0.00,0.11,0.14,24.11,0.90,0.05,2.55
clueweb12-0703wb-07-21701,-0.04,0.06,0.90,0.04,0.20,0.24,0.04,0.07,0.04,0.09,0.03,0.14,0.00,0.03,0.00,0.11,0.02,17.25,0.16,0.01,2.15
clueweb12-0602wb-74-33324,0.26,0.03,0.84,0.13,0.13,0.35,0.02,0.10,0.03,0.08,0.05,0.08,0.03,0.02,0.00,0.11,0.11,33.75,1.22,0.05,2.60
clueweb12-1115wb-28-27771,0.15,0.04,0.86,0.10,0.13,0.25,0.03,0.14,0.03,0.13,0.05,0.09,0.01,0.02,0.00,0.13,0.05,27.78,0.75,0.03,2.50
clueweb12-0707wb-17-11401,-0.18,0.07,0.88,0.05,0.12,0.28,0.00,0.15,0.03,0.10,0.06,0.10,0.00,0.01,0.00,0.14,0.05,25.87,0.77,0.02,2.69
clueweb12-1400tw-55-14612,0.08,0.04,0.90,0.06,0.18,0.29,0.02,0.08,0.03,0.12,0.02,0.13,0.00,0.05,0.00,0.09,0.08,35.74,1.54,0.05,2.85
clueweb12-0401wb-25-06505,-0.29,0.18,0.79,0.03,0.14,0.29,0.04,0.10,0.04,0.10,0.06,0.06,0.01,0.02,0.00,0.14,0.03,46.45,0.63,0.04,2.37
clueweb12-0000tw-07-04717,0.09,0.02,0.93,0.04,0.14,0.29,0.01,0.13,0.02,0.14,0.01,0.11,0.02,0.03,0.00,0.10,0.13,25.83,1.08,0.04,2.54
clueweb12-0807wb-50-04553,0.12,0.07,0.80,0.13,0.15,0.28,0.05,0.08,0.06,0.11,0.03,0.09,0.01,0.03,0.00,0.12,0.06,36.02,0.67,0.03,2.42
clueweb12-1614wb-05-19903,-0.17,0.10,0.87,0.03,0.09,0.37,0.01,0.11,0.02,0.12,0.02,0.04,0.06,0.01,0.01,0.13,0.12,39.17,0.53,0.03,2.53
clueweb12-0011wb-81-03872,0.04,0.08,0.85,0.08,0.17,0.24,0.07,0.04,0.06,0.07,0.04,0.12,0.00,0.03,0.00,0.15,0.04,40.20,0.23,0.01,2.20
clueweb12-0009wb-17-01428,-0.02,0.06,0.89,0.05,0.14,0.32,0.01,0.09,0.03,0.10,0.04,0.09,0.01,0.02,0.00,0.14,0.10,20.59,0.71,0.03,2.47
clueweb12-0008wb-43-14506,0.01,0.12,0.79,0.09,0.28,0.10,0.19,0.06,0.13,0.06,0.03,0.07,0.00,0.03,0.00,0.03,0.13,49.03,0.00,0.00,2.00
clueweb12-0701wb-79-07361,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0202wb-68-16813,-0.01,0.06,0.87,0.07,0.16,0.30,0.03,0.11,0.04,0.09,0.05,0.09,0.01,0.02,0.00,0.10,0.05,26.86,0.50,0.02,2.42
clueweb12-0606wb-39-01168,-0.04,0.06,0.88,0.06,0.15,0.28,0.01,0.12,0.03,0.11,0.04,0.12,0.01,0.02,0.00,0.12,0.04,17.03,0.42,0.02,2.38
clueweb12-0309wb-81-28579,-0.20,0.12,0.88,0.00,0.17,0.31,0.12,0.00,0.00,0.07,0.03,0.03,0.02,0.03,0.00,0.21,0.02,52.00,1.00,0.05,2.67
clueweb12-1019wb-30-06989,0.01,0.07,0.80,0.09,0.16,0.28,0.04,0.08,0.05,0.09,0.04,0.07,0.01,0.02,0.00,0.15,0.07,41.13,0.37,0.02,2.24
clueweb12-0111wb-35-18135,-0.04,0.12,0.77,0.11,0.20,0.25,0.06,0.10,0.04,0.10,0.03,0.07,0.00,0.03,0.00,0.11,0.06,22.72,0.20,0.01,2.14
clueweb12-0300tw-13-03021,0.04,0.07,0.83,0.10,0.13,0.31,0.07,0.10,0.04,0.10,0.04,0.09,0.00,0.03,0.00,0.09,0.07,31.14,0.44,0.02,2.30
clueweb12-1814wb-54-05057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0701wb-51-04468,-0.06,0.05,0.92,0.03,0.18,0.28,0.01,0.08,0.03,0.12,0.03,0.13,0.02,0.02,0.00,0.10,0.03,34.51,0.26,0.01,2.24
clueweb12-0302wb-32-17167,-0.09,0.08,0.86,0.06,0.15,0.28,0.01,0.09,0.07,0.10,0.03,0.10,0.02,0.04,0.00,0.10,0.06,20.67,0.74,0.02,2.20
clueweb12-0900tw-50-15802,0.10,0.07,0.86,0.08,0.14,0.36,0.01,0.10,0.06,0.11,0.02,0.09,0.00,0.02,0.00,0.10,0.03,17.53,1.30,0.05,2.78
clueweb12-1901wb-03-02556,0.23,0.03,0.83,0.13,0.21,0.22,0.07,0.08,0.06,0.10,0.02,0.11,0.01,0.05,0.00,0.08,0.01,24.32,0.20,0.01,2.17
clueweb12-0403wb-53-18702,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1407wb-96-02635,0.07,0.07,0.83,0.09,0.19,0.26,0.06,0.08,0.04,0.10,0.03,0.09,0.01,0.02,0.00,0.12,0.02,19.36,0.22,0.02,2.17
clueweb12-0204wb-33-05745,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1716wb-11-10224,0.77,0.01,0.85,0.14,0.13,0.41,0.03,0.10,0.03,0.10,0.06,0.09,0.02,0.01,0.00,0.02,0.11,19.51,4.00,0.05,3.00
clueweb12-1802wb-24-16866,0.18,0.07,0.79,0.14,0.12,0.27,0.06,0.14,0.03,0.10,0.06,0.08,0.00,0.02,0.00,0.11,0.02,22.25,0.67,0.03,2.56
clueweb12-0904wb-31-14437,0.10,0.00,0.97,0.03,0.07,0.41,0.01,0.06,0.01,0.12,0.07,0.06,0.04,0.02,0.00,0.15,0.16,28.38,2.88,0.12,2.75
clueweb12-0001wb-15-04031,-0.03,0.08,0.85,0.07,0.18,0.30,0.03,0.07,0.03,0.10,0.05,0.08,0.03,0.03,0.00,0.10,0.04,40.75,0.78,0.04,2.50
clueweb12-1809wb-04-10419,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0409wb-83-22799,0.00,0.05,0.90,0.05,0.17,0.31,0.01,0.09,0.03,0.10,0.04,0.10,0.01,0.02,0.00,0.11,0.08,19.60,0.51,0.03,2.31
clueweb12-1003wb-92-11988,0.05,0.09,0.81,0.10,0.21,0.19,0.08,0.09,0.06,0.11,0.03,0.12,0.01,0.04,0.00,0.07,0.04,34.68,0.05,0.00,2.05
clueweb12-1311wb-94-09199,-0.04,0.11,0.80,0.09,0.17,0.27,0.08,0.07,0.05,0.10,0.02,0.08,0.02,0.03,0.00,0.12,0.10,29.00,1.10,0.06,2.63
clueweb12-1102wb-54-24239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0007wb-22-04101,-0.05,0.08,0.86,0.06,0.15,0.31,0.02,0.09,0.03,0.12,0.03,0.10,0.02,0.02,0.00,0.11,0.08,23.58,0.91,0.03,2.51
