filename,lm_clef15_vhard,lm_clef15_hard,lm_clef15_easy,lm_clef15_veasy
clueweb12-1100wb-88-02252,0.000,0.000,0.000,0.000
clueweb12-0110wb-05-27489,-16002.751,-15442.046,-15780.661,-16015.500
clueweb12-1406wb-17-17302,-341.559,-312.473,-323.646,-309.037
clueweb12-1410wb-67-02350,-629.245,-594.368,-597.130,-608.292
clueweb12-0818wb-42-07786,0.000,0.000,0.000,0.000
clueweb12-0910wb-04-16125,-2327.309,-2296.544,-2343.547,-2357.690
clueweb12-1614wb-61-20876,0.000,0.000,0.000,0.000
clueweb12-1712wb-25-02917,-1081.973,-1049.499,-1056.832,-1047.734
clueweb12-1316wb-39-10520,-1344.132,-1278.661,-1313.776,-1337.109
clueweb12-0304wb-37-32503,-7473.192,-7252.707,-7433.138,-7532.288
clueweb12-1400tw-72-17968,-442.890,-437.020,-435.328,-430.485
clueweb12-1609wb-45-15938,-15489.662,-14775.490,-14659.535,-14745.620
clueweb12-1715wb-55-01605,0.000,0.000,0.000,0.000
clueweb12-0012wb-34-03842,-1010.280,-1033.967,-1082.074,-1121.115
clueweb12-0007wb-13-21745,-6398.594,-6145.576,-6105.186,-6018.098
clueweb12-0211wb-49-23724,-316.478,-304.678,-314.344,-320.499
clueweb12-1606wb-94-00055,-10788.102,-10315.142,-10548.967,-10642.228
clueweb12-0104wb-16-01848,0.000,0.000,0.000,0.000
clueweb12-1211wb-50-02046,-2637.441,-2551.687,-2602.230,-2718.759
clueweb12-1500wb-73-14549,-2213.740,-2202.281,-2248.927,-2278.240
clueweb12-1803wb-10-09536,-23203.129,-22296.729,-22795.332,-23530.783
clueweb12-1209wb-71-11509,-890.564,-867.920,-870.092,-832.448
clueweb12-1505wb-01-13045,-1801.445,-1707.033,-1670.943,-1636.257
clueweb12-1603wb-05-00565,-2890.759,-2823.354,-2804.476,-2775.877
clueweb12-0511wb-92-31571,-4408.298,-4271.209,-4215.232,-4247.093
clueweb12-0210wb-27-23267,-729.208,-701.619,-695.408,-697.747
clueweb12-1416wb-48-00173,-2423.154,-2404.615,-2457.450,-2500.888
clueweb12-0716wb-94-21578,-2018.171,-1986.997,-1992.890,-1952.955
clueweb12-1302wb-53-02445,-2913.917,-2788.990,-2831.708,-2845.269
clueweb12-1609wb-69-28895,-172957.859,-169670.016,-172043.781,-172609.047
clueweb12-0916wb-60-25024,-854.613,-836.695,-863.577,-871.626
clueweb12-0412wb-03-25255,-1035.891,-1015.096,-1034.895,-1042.076
clueweb12-1613wb-00-02435,-29452.135,-28087.555,-27046.092,-26899.049
clueweb12-1107wb-01-22610,-3978.757,-3923.913,-4063.731,-4128.145
clueweb12-1901wb-36-07445,-7390.810,-7156.285,-7186.891,-7202.469
clueweb12-0210wb-01-33857,-5975.570,-5804.930,-5873.441,-5808.169
clueweb12-1515wb-72-12169,-17712.709,-17059.578,-16755.859,-16498.799
clueweb12-0104wb-48-23181,-6461.063,-6305.956,-6533.182,-6519.690
clueweb12-0306wb-24-18082,-191.068,-185.598,-180.954,-181.029
clueweb12-0917wb-59-16785,-17693.629,-17427.982,-17663.928,-17842.676
clueweb12-0010wb-13-16709,-7577.913,-7242.493,-7603.502,-7640.093
clueweb12-1311wb-85-32411,-1977.834,-1892.590,-1935.449,-1982.751
clueweb12-0500wb-04-32562,-1388.814,-1309.132,-1316.753,-1374.868
clueweb12-0007wb-39-34248,-790.641,-801.992,-816.636,-839.405
clueweb12-0209wb-99-26568,-1541.496,-1520.356,-1555.328,-1568.032
clueweb12-1511wb-21-28752,-190.199,-179.027,-191.454,-183.886
clueweb12-0301tw-47-21023,-483.001,-455.834,-452.644,-456.657
clueweb12-1700wb-65-11792,-2032.324,-1666.980,-1935.100,-2021.615
clueweb12-1404wb-99-17963,-2169.652,-2101.934,-2220.551,-2250.609
clueweb12-0001wb-04-22801,-1078.266,-1045.372,-1092.636,-1093.518
clueweb12-1900tw-46-17867,-3923.118,-3824.961,-3858.228,-3867.044
clueweb12-0911wb-24-19516,-4200.837,-4111.630,-4123.860,-4107.751
clueweb12-1603wb-10-02270,-423.140,-416.618,-425.871,-421.429
clueweb12-1912wb-28-03700,-1227.153,-1220.697,-1233.093,-1248.910
clueweb12-0205wb-02-14755,-4344.094,-4262.835,-4229.148,-4173.790
clueweb12-0512wb-00-26945,0.000,0.000,0.000,0.000
clueweb12-1310wb-84-15636,-11421.724,-11253.805,-11388.849,-11367.065
clueweb12-1800wb-31-12782,0.000,0.000,0.000,0.000
clueweb12-1300wb-89-09515,0.000,0.000,0.000,0.000
clueweb12-0000tw-07-10820,-1246.284,-1217.388,-1231.334,-1247.387
clueweb12-0714wb-41-25273,0.000,0.000,0.000,0.000
clueweb12-1603wb-03-04886,-272.076,-270.897,-277.398,-273.422
clueweb12-0401wb-51-08117,-4096.787,-3797.965,-4142.351,-4112.069
clueweb12-0309wb-22-19661,-18422.869,-17871.824,-17464.875,-17217.926
clueweb12-1912wb-98-16766,0.000,0.000,0.000,0.000
clueweb12-0400wb-60-19346,-2362.138,-2312.054,-2269.893,-2273.155
clueweb12-1300tw-43-14952,-1683.405,-1622.228,-1630.654,-1613.603
clueweb12-1712wb-99-18369,-1495.998,-1446.205,-1422.462,-1377.634
clueweb12-0106wb-35-20068,0.000,0.000,0.000,0.000
clueweb12-1400wb-35-01806,-1140.343,-1125.978,-1123.677,-1153.103
clueweb12-0406wb-38-03712,-1065.230,-1013.005,-1012.072,-991.492
clueweb12-0408wb-39-28246,-652.018,-608.459,-615.151,-636.429
clueweb12-0202wb-03-34036,0.000,0.000,0.000,0.000
clueweb12-1001wb-76-11222,-188.894,-177.208,-181.147,-186.734
clueweb12-1508wb-03-17427,-5618.444,-5409.421,-5232.837,-5196.656
clueweb12-0010wb-62-18673,-2808.537,-2666.330,-2701.003,-2706.476
clueweb12-0405wb-40-25051,-1297.801,-1286.878,-1322.564,-1323.690
clueweb12-0312wb-01-17137,-20512.100,-21075.340,-22133.467,-22577.326
clueweb12-0816wb-97-12855,-21363.959,-25145.945,-26709.580,-27137.480
clueweb12-0104wb-27-11166,-3757.797,-3647.532,-3758.411,-3873.999
clueweb12-1704wb-27-01260,-2027.139,-1931.969,-1913.335,-1882.875
clueweb12-0000wb-66-33308,-1165.493,-1098.626,-1108.963,-1149.698
clueweb12-0109wb-23-28306,-1275.063,-1237.094,-1242.989,-1262.198
clueweb12-0802wb-62-17490,-1876.589,-1838.850,-1878.312,-1909.010
clueweb12-1408wb-54-09404,0.000,0.000,0.000,0.000
clueweb12-1911wb-68-23322,0.000,0.000,0.000,0.000
clueweb12-1021wb-19-12990,-693.809,-669.146,-670.194,-672.176
clueweb12-0600wb-45-02323,-902.164,-879.922,-856.585,-840.988
clueweb12-1416wb-48-06142,0.000,0.000,0.000,0.000
clueweb12-0006wb-79-11918,-1315.823,-1248.505,-1266.515,-1297.944
clueweb12-1909wb-35-15156,-2530.805,-2417.723,-2361.775,-2394.686
clueweb12-1712wb-84-09838,-6140.059,-6105.542,-6195.364,-6239.267
clueweb12-0813wb-04-12026,-4114.173,-3834.273,-3838.344,-3907.843
clueweb12-0004wb-65-09328,-2479.595,-2374.763,-2347.000,-2305.329
clueweb12-0300wb-22-28286,-30359.254,-29917.248,-30369.475,-30284.123
clueweb12-0305wb-48-28090,-649.162,-631.395,-650.092,-657.599
clueweb12-0202wb-16-01442,-686.096,-694.497,-728.036,-749.115
clueweb12-1904wb-91-05202,-2131.716,-2021.213,-2031.882,-2017.292
clueweb12-1401wb-95-26931,-1074.555,-986.599,-987.581,-982.171
clueweb12-1605wb-78-31029,-861.757,-839.484,-859.974,-857.505
clueweb12-0013wb-61-00825,-3696.514,-3585.787,-3671.497,-3701.384
clueweb12-0714wb-34-10870,-494.267,-462.094,-445.589,-437.633
clueweb12-1801wb-31-19552,-258.974,-263.383,-264.513,-259.983
clueweb12-0307wb-13-29826,-847.860,-839.106,-834.337,-825.226
clueweb12-0101wb-67-04315,-137.751,-137.147,-138.447,-138.688
clueweb12-1400tw-00-07032,-348.559,-337.867,-331.512,-321.358
clueweb12-0106wb-09-32864,-3620.132,-3651.838,-3814.958,-3884.233
clueweb12-1602wb-34-16170,-3146.591,-2942.359,-3043.846,-3116.012
clueweb12-1505wb-28-15822,-4055.530,-3915.886,-3882.150,-3829.202
clueweb12-0302wb-39-03262,-1279.219,-1261.295,-1302.976,-1306.670
clueweb12-1118wb-75-00690,-3429.927,-3347.562,-3451.944,-3452.359
clueweb12-0100wb-15-32305,-10001.420,-9678.687,-9678.639,-9596.980
clueweb12-1709wb-68-03567,-1089.211,-1017.664,-1049.034,-1082.070
clueweb12-1201wb-92-16566,-558.612,-546.648,-538.437,-541.618
clueweb12-0209wb-54-24315,-8058.575,-8243.854,-8382.240,-8441.415
clueweb12-0813wb-87-24620,-5264.422,-5140.613,-5155.799,-5211.826
clueweb12-0807wb-55-24808,-10354.909,-10216.628,-10513.029,-10758.852
clueweb12-0106wb-93-26473,-6994.462,-6778.208,-6881.285,-7051.604
clueweb12-1212wb-13-01530,-23521.203,-22723.309,-22840.701,-23107.398
clueweb12-1905wb-47-02207,-1206.133,-1166.928,-1149.720,-1129.724
clueweb12-1215wb-55-03877,-1800.260,-1741.499,-1706.858,-1686.219
clueweb12-0212wb-16-31586,0.000,0.000,0.000,0.000
clueweb12-1604wb-02-27604,0.000,0.000,0.000,0.000
clueweb12-0704wb-42-28806,-3367.134,-3242.769,-3266.771,-3285.486
clueweb12-0612wb-73-34425,-1589.015,-1484.106,-1524.032,-1565.249
clueweb12-1807wb-97-14534,-1583.440,-1533.922,-1563.893,-1617.603
clueweb12-0903wb-65-25611,-1529.440,-1472.534,-1458.175,-1462.893
clueweb12-0205wb-86-05528,-1235.469,-1207.613,-1225.657,-1239.787
clueweb12-0300wb-78-12387,-197.037,-185.425,-178.883,-177.853
clueweb12-1313wb-21-34545,0.000,0.000,0.000,0.000
clueweb12-0500wb-35-05859,0.000,0.000,0.000,0.000
clueweb12-0001wb-04-31330,-873.078,-837.751,-830.642,-845.463
clueweb12-1910wb-42-31366,-3629.519,-3491.203,-3470.033,-3470.623
clueweb12-0500wb-54-06829,-6151.541,-6366.021,-6753.687,-6779.386
clueweb12-0109wb-08-28339,-20214.541,-19749.920,-20583.975,-21271.635
clueweb12-0606wb-12-18330,-28072.535,-27439.041,-28363.514,-28404.178
clueweb12-0608wb-43-13584,-1496.119,-1424.047,-1433.970,-1426.396
clueweb12-0207wb-68-15780,0.000,0.000,0.000,0.000
clueweb12-0302wb-67-24487,-1362.882,-1314.664,-1320.063,-1306.739
clueweb12-0311wb-43-29569,-3948.322,-3750.638,-3841.988,-3959.501
clueweb12-1213wb-08-06699,0.000,0.000,0.000,0.000
clueweb12-0200tw-38-22368,-1745.821,-1700.415,-1685.616,-1673.234
clueweb12-1710wb-12-28926,-661.371,-648.192,-654.929,-660.321
clueweb12-0101wb-24-25875,-20038.242,-20062.807,-20766.398,-21222.582
clueweb12-0209wb-51-02605,0.000,0.000,0.000,0.000
clueweb12-0301wb-67-27760,-3931.459,-3806.350,-3922.742,-3910.969
clueweb12-1504wb-70-19259,-563.614,-540.291,-540.361,-530.780
clueweb12-0709wb-94-01989,-947.487,-898.520,-940.860,-959.236
clueweb12-0306wb-58-06048,-714.424,-700.914,-715.334,-717.175
clueweb12-1210wb-43-05181,-167.943,-161.961,-160.835,-164.734
clueweb12-1805wb-76-05639,-9221.526,-8790.433,-8727.926,-8948.908
clueweb12-0307wb-52-08052,-7775.913,-7428.655,-7664.634,-7842.629
clueweb12-0200wb-34-10029,-7335.432,-7191.324,-7288.453,-7191.406
clueweb12-0200wb-66-33934,-43081.305,-44113.816,-45373.680,-46137.676
clueweb12-1903wb-81-03247,-2866.075,-2646.292,-2631.035,-2610.814
clueweb12-0100wb-30-06526,-13922.888,-13719.692,-13926.341,-13979.114
clueweb12-0207wb-26-26565,-3471.644,-3282.786,-3240.469,-3216.861
clueweb12-1903wb-65-01140,-1418.808,-1324.833,-1330.636,-1324.342
clueweb12-0002wb-70-07941,-4055.655,-4105.129,-4205.551,-4201.244
clueweb12-0008wb-03-24969,-24365.324,-24470.051,-25352.260,-25744.861
clueweb12-1717wb-40-23682,0.000,0.000,0.000,0.000
clueweb12-1509wb-66-10733,-3147.894,-3131.593,-3148.956,-3312.775
clueweb12-0800tw-31-07368,-2878.315,-2743.312,-2819.443,-2849.605
clueweb12-1410wb-76-06866,0.000,0.000,0.000,0.000
clueweb12-1218wb-43-10547,-6474.398,-6009.209,-5839.139,-6109.240
clueweb12-1110wb-94-30104,-182.028,-173.926,-178.984,-177.399
clueweb12-0003wb-18-05825,-746.636,-718.592,-736.599,-713.725
clueweb12-0407wb-62-34677,-2968.428,-2936.148,-2937.745,-2915.927
clueweb12-0300wb-13-23514,-262.976,-247.112,-234.538,-226.732
clueweb12-0012wb-12-34919,-305.106,-299.585,-311.175,-307.006
clueweb12-0914wb-72-26259,-14656.511,-14259.348,-14327.658,-14280.244
clueweb12-1012wb-47-07342,-4461.947,-4403.105,-4499.112,-4537.628
clueweb12-1401wb-81-01009,-2174.918,-2073.802,-2109.504,-2162.076
clueweb12-1005wb-17-16578,-2574.251,-2483.578,-2507.250,-2545.002
clueweb12-0205wb-73-35545,-1438.203,-1421.731,-1457.253,-1481.872
clueweb12-0304wb-19-06751,-991.457,-954.116,-980.860,-997.750
clueweb12-0411wb-45-22685,-2808.600,-2748.683,-2748.726,-2736.664
clueweb12-0816wb-64-09041,-275.876,-272.773,-275.031,-287.467
clueweb12-1407wb-27-06206,-172.822,-159.318,-155.105,-152.865
clueweb12-0600wb-51-12953,-382467.188,-385584.125,-399229.781,-403275.531
clueweb12-1600wb-17-07118,-179.355,-167.580,-152.824,-149.647
clueweb12-0402wb-55-08506,-1151.797,-1084.224,-1059.064,-1063.012
clueweb12-0715wb-77-14030,-1711.868,-1625.008,-1631.577,-1608.891
clueweb12-0305wb-76-14125,0.000,0.000,0.000,0.000
clueweb12-0300wb-33-01555,-6157.893,-5798.810,-5931.194,-6114.968
clueweb12-1515wb-55-25062,-2788.873,-2820.518,-2906.896,-2978.869
clueweb12-0909wb-37-23439,-1667.196,-1557.166,-1606.442,-1712.678
clueweb12-1513wb-41-04095,-278.260,-267.050,-263.639,-272.633
clueweb12-0903wb-21-23318,-3747.274,-3630.802,-3626.898,-3558.140
clueweb12-0506wb-42-08762,-152.301,-143.516,-143.892,-143.878
clueweb12-0010wb-50-04977,-4114.873,-3920.144,-4021.874,-4146.113
clueweb12-1713wb-96-15155,-2181.803,-2105.275,-2057.274,-2042.361
clueweb12-0817wb-88-24990,-3753.490,-3667.932,-3731.295,-3804.594
clueweb12-0506wb-46-22307,-4176.164,-4299.772,-4438.037,-4570.900
clueweb12-1506wb-32-16682,-2426.494,-2300.563,-2299.244,-2311.095
clueweb12-1612wb-00-01084,-120.176,-114.978,-119.710,-118.572
clueweb12-0200wb-88-04313,-3874.203,-3861.219,-3985.822,-4065.013
clueweb12-0407wb-58-27297,-16200.154,-16511.482,-17383.688,-17575.498
clueweb12-0300wb-97-22949,-1252.179,-1217.396,-1184.252,-1210.279
clueweb12-1500wb-81-10530,0.000,0.000,0.000,0.000
clueweb12-1701wb-75-15418,-6961.546,-6623.804,-6719.413,-6717.895
clueweb12-0409wb-48-31139,0.000,0.000,0.000,0.000
clueweb12-0406wb-69-10853,-3912.763,-3676.308,-3552.378,-3501.891
clueweb12-0915wb-96-27233,-1329.391,-1281.985,-1297.526,-1289.611
clueweb12-0903wb-08-23989,-259.231,-257.567,-253.622,-252.247
clueweb12-0110wb-37-21443,-432.778,-428.397,-437.832,-436.555
clueweb12-0012wb-10-06609,-3658.209,-3560.512,-3650.825,-3781.698
clueweb12-0305wb-06-14167,-16162.388,-15551.342,-15494.019,-15375.770
clueweb12-1500tw-24-02466,-42279.102,-41023.656,-40610.156,-40653.125
clueweb12-1502wb-90-08843,-18143.883,-17107.207,-17783.824,-18027.496
clueweb12-0714wb-74-11484,0.000,0.000,0.000,0.000
clueweb12-0110wb-56-15757,-3922.417,-3829.922,-3899.509,-3853.721
clueweb12-1803wb-84-16544,-6775.628,-6623.244,-6692.195,-6711.712
clueweb12-0509wb-19-31597,0.000,0.000,0.000,0.000
clueweb12-1702wb-96-17158,-174.036,-166.684,-172.843,-176.187
clueweb12-1013wb-25-11962,-1080.430,-1056.261,-1098.096,-1147.525
clueweb12-1211wb-45-10670,-512.164,-499.937,-510.841,-515.811
clueweb12-1010wb-15-18831,-4640.065,-4521.068,-4624.634,-4755.588
clueweb12-0902wb-49-26791,-3310.907,-3289.512,-3290.694,-3250.654
clueweb12-1109wb-83-17466,-11703.417,-11975.271,-12508.468,-12731.965
clueweb12-1904wb-40-09532,-678.673,-665.566,-682.796,-696.749
clueweb12-0004wb-19-22834,-5839.855,-5809.618,-5838.160,-5875.767
clueweb12-1215wb-27-17673,-990.578,-970.151,-959.270,-940.795
clueweb12-1006wb-61-21535,-5742.832,-5506.383,-5478.541,-5456.328
clueweb12-0606wb-40-17468,-1056.619,-1029.076,-1059.279,-1055.189
clueweb12-0304wb-78-16139,-1119.045,-1061.624,-1067.579,-1095.234
clueweb12-1315wb-30-19562,-1932.299,-1853.356,-1839.671,-1813.052
clueweb12-0807wb-25-02422,-2674.704,-2535.497,-2506.854,-2496.516
clueweb12-1513wb-11-35914,-1020.554,-1012.259,-1003.343,-995.225
clueweb12-1303wb-04-18083,-25356.518,-24441.834,-24024.475,-23851.973
clueweb12-0210wb-47-34350,-2873.149,-2719.178,-2677.457,-2760.019
clueweb12-1106wb-89-17808,-5463.328,-5481.922,-5601.613,-5582.915
clueweb12-0310wb-37-09170,-1750.236,-1719.146,-1776.144,-1770.994
clueweb12-0512wb-34-27975,-2250.448,-2181.858,-2184.733,-2236.312
clueweb12-0510wb-50-14150,-3951.008,-3840.764,-3939.671,-3964.521
clueweb12-1204wb-58-25115,-2039.643,-1982.956,-1979.977,-1985.962
clueweb12-1311wb-13-06681,-3301.459,-3191.872,-3219.102,-3253.250
clueweb12-0200tw-76-00268,-1362.233,-1277.253,-1280.658,-1309.275
clueweb12-1900wb-46-11414,0.000,0.000,0.000,0.000
clueweb12-0107wb-85-29644,-2276.517,-2190.151,-2306.154,-2235.085
clueweb12-0800tw-22-19970,-2809.139,-2711.927,-2669.873,-2663.632
clueweb12-0001wb-26-06006,-2556.098,-2430.235,-2372.938,-2366.379
clueweb12-1013wb-12-22424,-3488.784,-3362.959,-3523.238,-3552.939
clueweb12-0004wb-84-30585,-1787.103,-1454.255,-1681.242,-1717.248
clueweb12-0703wb-09-20710,0.000,0.000,0.000,0.000
clueweb12-0007wb-33-18827,-1539.960,-1536.050,-1569.168,-1586.571
clueweb12-1511wb-10-29878,-2394.027,-2329.394,-2347.279,-2333.590
clueweb12-0101wb-91-02561,-611.047,-610.212,-608.604,-603.445
clueweb12-0105wb-96-25649,-1140.949,-1130.953,-1152.880,-1154.381
clueweb12-1405wb-49-08080,-4235.005,-4262.001,-4407.812,-4458.950
clueweb12-1600tw-28-22155,-1451.092,-1373.393,-1357.787,-1367.206
clueweb12-0411wb-02-03360,-4701.797,-4550.271,-4523.163,-4469.231
clueweb12-0408wb-53-13348,-1380.031,-1363.550,-1385.999,-1403.680
clueweb12-1403wb-66-26795,-1757.759,-1666.760,-1688.605,-1713.804
clueweb12-1516wb-60-30204,-3795.079,-3688.860,-3692.471,-3747.708
clueweb12-1113wb-96-07056,0.000,0.000,0.000,0.000
clueweb12-1516wb-40-01774,-134.680,-133.574,-137.467,-136.839
clueweb12-0405wb-37-08197,-1447.376,-1360.391,-1286.218,-1264.409
clueweb12-1903wb-19-19877,-1349.940,-1306.804,-1312.035,-1311.806
clueweb12-1715wb-09-07686,-225.984,-215.343,-214.407,-214.708
clueweb12-0407wb-87-26882,-161350.266,-164638.844,-169676.203,-171868.938
clueweb12-1203wb-48-30696,-1099.998,-1132.414,-1161.273,-1209.934
clueweb12-0919wb-14-22225,-863.138,-839.808,-839.150,-847.828
clueweb12-0504wb-40-12489,-1640.255,-1617.318,-1639.268,-1691.394
clueweb12-1206wb-86-25351,-6768.660,-6415.886,-6228.019,-6151.071
clueweb12-1812wb-98-15202,0.000,0.000,0.000,0.000
clueweb12-1706wb-78-21674,-347.398,-328.699,-333.191,-327.540
clueweb12-1505wb-97-03319,-462.726,-451.403,-452.326,-447.105
clueweb12-0303wb-37-24687,-952.998,-932.475,-936.797,-959.208
clueweb12-1107wb-96-19016,-14326.379,-13559.782,-13633.129,-13770.198
clueweb12-1701wb-68-22715,-1472.874,-1456.514,-1508.132,-1516.403
clueweb12-1800wb-39-17094,-239.676,-232.278,-243.044,-244.789
clueweb12-0911wb-39-24090,-14715.938,-14073.973,-14315.868,-14576.638
clueweb12-0500wb-00-02806,-155.624,-143.934,-124.214,-132.391
clueweb12-0003wb-39-11553,-1614.086,-1569.689,-1598.070,-1612.806
clueweb12-0210wb-25-10285,-3883.926,-3746.892,-3818.396,-3880.577
clueweb12-0211wb-78-29033,-6336.236,-6174.899,-6192.379,-6148.355
clueweb12-0806wb-74-14904,-33348.844,-31790.281,-30852.404,-30592.902
clueweb12-0003wb-40-22119,-25964.166,-25659.797,-26726.449,-26918.271
clueweb12-1710wb-60-30325,0.000,0.000,0.000,0.000
clueweb12-0408wb-98-08344,-2290.054,-2156.787,-2160.857,-2151.859
clueweb12-0815wb-27-29275,-5890.724,-7133.413,-7627.118,-7776.609
clueweb12-0500wb-43-24662,-2617.305,-2466.754,-2498.448,-2442.203
clueweb12-0203wb-75-11040,-1740.236,-1779.479,-1825.073,-1844.945
