filename,n_chv_concepts,n_chv_dsyn_concepts,n_chv_sosy_concepts,avg_chv_value_all,avg_chv_alue_dsyn,avg_chv_value_sosy
clueweb12-0302wb-93-10635,13,0,0,0.667,0.000,0.000
clueweb12-1118wb-21-33186,0,0,0,0.000,0.000,0.000
clueweb12-1811wb-89-09635,92,0,5,0.757,0.000,0.905
clueweb12-1306wb-79-18268,573,2,18,0.770,0.521,0.928
clueweb12-0300wb-66-18170,1293,41,33,0.782,0.625,0.742
clueweb12-0104wb-28-09899,0,0,0,0.000,0.000,0.000
clueweb12-0814wb-23-20713,1031,73,49,0.755,0.612,0.784
clueweb12-1516wb-23-00706,982,32,6,0.737,0.659,0.675
clueweb12-1304wb-89-07490,69,1,2,0.776,0.534,0.883
clueweb12-0101wb-14-05096,512,45,13,0.732,0.590,0.685
clueweb12-0208wb-17-14678,82,6,4,0.765,0.588,0.675
clueweb12-1205wb-03-01893,359,15,2,0.754,0.757,0.761
clueweb12-0205wb-11-02131,0,0,0,0.000,0.000,0.000
clueweb12-1806wb-99-12961,0,0,0,0.000,0.000,0.000
clueweb12-1200wb-04-07932,1343,35,24,0.788,0.693,0.626
clueweb12-0308wb-55-26439,400,11,34,0.773,0.627,0.850
clueweb12-1717wb-20-25691,126,2,4,0.766,0.888,0.759
clueweb12-0206wb-10-10126,280,17,8,0.772,0.622,0.720
clueweb12-1012wb-62-02366,69,5,5,0.795,0.888,0.915
clueweb12-1001wb-02-03088,490,5,2,0.760,0.347,0.512
clueweb12-1303wb-72-12776,438,0,9,0.775,0.000,0.855
clueweb12-0204wb-74-01316,53,5,0,0.666,0.695,0.000
clueweb12-0000wb-22-20608,144,5,0,0.774,0.351,0.000
clueweb12-0107wb-56-18519,596,20,5,0.786,0.545,0.734
clueweb12-0200wb-66-08316,325,1,0,0.760,0.888,0.000
clueweb12-0000tw-32-13227,1777,27,33,0.789,0.636,0.777
clueweb12-1711wb-89-09803,493,8,18,0.722,0.738,0.760
clueweb12-1406wb-68-24276,186,3,19,0.769,0.668,0.735
clueweb12-0105wb-70-15819,13,0,0,0.825,0.000,0.000
clueweb12-1402wb-65-19223,129,1,0,0.741,0.351,0.000
clueweb12-0011wb-62-13685,185,14,22,0.757,0.603,0.745
clueweb12-0200tw-21-22442,281,5,4,0.768,0.671,0.802
clueweb12-0001wb-39-17046,0,0,0,0.000,0.000,0.000
clueweb12-0608wb-90-27487,1964,47,42,0.769,0.599,0.861
clueweb12-0010wb-85-19379,240,5,33,0.785,0.473,0.828
clueweb12-1204wb-17-19743,205,1,2,0.772,0.588,0.740
clueweb12-0200wb-21-29769,81,7,0,0.754,0.626,0.000
clueweb12-0607wb-57-26563,273,13,5,0.780,0.646,0.685
clueweb12-0608wb-61-01990,52,7,1,0.721,0.665,0.657
clueweb12-0400tw-13-15041,18,1,1,0.662,0.888,0.955
clueweb12-1114wb-62-12369,759,27,11,0.765,0.622,0.739
clueweb12-0304wb-21-10698,259,2,18,0.800,0.721,0.833
clueweb12-1601wb-78-14510,264,5,8,0.710,0.680,0.857
clueweb12-0205wb-48-11391,21,2,0,0.724,0.632,0.000
clueweb12-0300tw-79-16163,264,16,5,0.733,0.555,0.836
clueweb12-1712wb-65-21911,41,0,0,0.816,0.000,0.000
clueweb12-0002wb-10-14995,39,1,0,0.837,0.888,0.000
clueweb12-0201wb-81-31089,2801,140,134,0.753,0.614,0.822
clueweb12-1200wb-94-14422,521,7,12,0.752,0.687,0.818
clueweb12-0111wb-48-25789,41,2,0,0.852,0.688,0.000
clueweb12-1803wb-69-12785,324,10,6,0.787,0.656,0.633
clueweb12-0005wb-54-24693,882,4,28,0.729,0.888,0.777
clueweb12-1913wb-95-00456,56,0,1,0.756,0.000,0.963
clueweb12-0008wb-41-05656,51,0,0,0.707,0.000,0.000
clueweb12-0208wb-38-02899,0,0,0,0.000,0.000,0.000
clueweb12-0502wb-25-17498,97,6,6,0.679,0.629,0.693
clueweb12-1700tw-45-04425,0,0,0,0.000,0.000,0.000
clueweb12-1114wb-12-12106,627,9,3,0.797,0.620,0.732
clueweb12-0500wb-42-18865,726,3,2,0.777,0.594,0.709
clueweb12-0713wb-23-11946,57,1,1,0.762,0.888,0.752
clueweb12-0915wb-42-11173,54,3,0,0.789,0.888,0.000
clueweb12-0307wb-52-08066,399,16,7,0.792,0.794,0.903
clueweb12-1912wb-88-20259,3369,162,19,0.689,0.553,0.723
clueweb12-0500wb-44-02653,241,6,5,0.770,0.688,0.885../data/clef16docs/clueweb12-0100wb-18-29108,172,8,12,0.774,0.546,0.744
clueweb12-0603wb-67-06154,131,0,1,0.733,0.000,0.595
clueweb12-1600wb-84-18236,381,11,7,0.691,0.654,0.848
clueweb12-0110wb-83-25700,954,55,20,0.778,0.593,0.920
clueweb12-0201wb-44-26570,0,0,0,0.000,0.000,0.000
clueweb12-0000wb-11-01491,440,25,0,0.804,0.795,0.000
clueweb12-0202wb-01-07733,593,29,15,0.720,0.716,0.870
clueweb12-1215wb-57-05336,0,0,0,0.000,0.000,0.000
clueweb12-0906wb-56-16940,587,5,6,0.771,0.483,0.721
clueweb12-1807wb-44-11929,1766,22,13,0.788,0.581,0.814
clueweb12-0809wb-58-01514,57,1,1,0.734,0.078,0.926
clueweb12-1902wb-41-06155,596,6,31,0.749,0.636,0.879
clueweb12-0410wb-41-13334,372,1,5,0.807,0.588,0.768
clueweb12-0400tw-60-03174,207,4,0,0.804,0.747,0.000
clueweb12-1015wb-11-01456,85,1,3,0.730,0.888,0.754
clueweb12-1705wb-31-09494,357,2,26,0.720,0.626,0.934
clueweb12-0013wb-10-21219,287,7,2,0.797,0.576,0.694
clueweb12-1610wb-70-11119,566,1,29,0.750,0.888,0.926
clueweb12-1711wb-48-16529,525,9,19,0.763,0.732,0.771
clueweb12-0402wb-23-04209,135,14,0,0.754,0.637,0.000
clueweb12-1311wb-07-02611,0,0,0,0.000,0.000,0.000
clueweb12-0210wb-39-32007,221,4,9,0.744,0.688,0.639
clueweb12-1115wb-76-22424,279,30,2,0.727,0.631,0.769
clueweb12-1900wb-84-09859,1372,19,13,0.773,0.584,0.822
clueweb12-1614wb-71-01792,3890,124,51,0.745,0.548,0.816
clueweb12-0405wb-87-25017,50,0,3,0.782,0.000,0.813
clueweb12-1807wb-24-14673,1695,12,2,0.760,0.662,0.926
clueweb12-1902wb-50-07808,229,3,1,0.796,0.888,0.657
clueweb12-0005wb-11-24387,450,1,1,0.771,0.888,0.963
clueweb12-0100wb-83-08401,194,6,2,0.777,0.701,0.632
clueweb12-0402wb-81-30341,31,0,0,0.724,0.000,0.000
clueweb12-0304wb-47-16842,564,13,14,0.783,0.793,0.891
clueweb12-1200tw-40-17937,119,0,0,0.786,0.000,0.000
clueweb12-0102wb-64-23918,20,0,0,0.867,0.000,0.000
clueweb12-1020wb-79-23123,120,7,2,0.776,0.684,0.761
clueweb12-1717wb-08-18272,172,0,4,0.759,0.000,0.856
clueweb12-0203wb-44-27528,1094,20,16,0.788,0.596,0.692
clueweb12-0002wb-19-03597,0,0,0,0.000,0.000,0.000
clueweb12-1807wb-90-13657,335,15,4,0.776,0.736,0.951
clueweb12-0807wb-15-28191,0,0,0,0.000,0.000,0.000
clueweb12-1018wb-30-16529,131,2,2,0.764,0.833,0.934
clueweb12-0003wb-73-06369,0,0,0,0.000,0.000,0.000
clueweb12-0903wb-19-07786,0,0,0,0.000,0.000,0.000
clueweb12-0402wb-67-07990,0,0,0,0.000,0.000,0.000
clueweb12-0805wb-53-14980,219,1,0,0.795,0.489,0.000
clueweb12-0905wb-58-26686,950,9,8,0.728,0.799,0.647
clueweb12-0910wb-33-07468,423,4,23,0.735,0.498,0.917
clueweb12-1912wb-36-01696,1109,4,18,0.756,0.508,0.807
clueweb12-1213wb-68-08124,0,0,0,0.000,0.000,0.000
clueweb12-1011wb-90-23579,410,5,15,0.726,0.478,0.892
clueweb12-0100wb-15-13599,1233,17,13,0.789,0.676,0.676
clueweb12-1804wb-59-06243,188,25,0,0.709,0.624,0.000
clueweb12-0111wb-60-21410,787,45,6,0.762,0.512,0.880
clueweb12-0511wb-00-14828,34,4,2,0.773,0.665,0.900
clueweb12-0305wb-04-17982,3770,101,65,0.743,0.700,0.840
clueweb12-0107wb-20-19259,384,16,22,0.720,0.564,0.720
clueweb12-0110wb-29-03446,70,0,3,0.777,0.000,0.963
clueweb12-0403wb-20-16529,329,25,1,0.711,0.708,0.571
clueweb12-0602wb-76-24795,346,19,16,0.810,0.668,0.824
clueweb12-0703wb-55-21144,0,0,0,0.000,0.000,0.000
clueweb12-0310wb-98-02113,171,17,6,0.723,0.652,0.848
clueweb12-1200wb-96-17029,709,50,30,0.737,0.538,0.832
clueweb12-0408wb-39-34101,139,8,6,0.755,0.678,0.585
clueweb12-1304wb-56-23313,162,0,0,0.825,0.000,0.000
clueweb12-0818wb-55-19770,302,12,4,0.734,0.557,0.788
clueweb12-1007wb-23-28084,0,0,0,0.000,0.000,0.000
clueweb12-1512wb-67-05800,113,1,10,0.761,0.888,0.709
clueweb12-1408wb-59-15674,675,6,23,0.776,0.561,0.798
clueweb12-0607wb-07-17091,196,2,9,0.787,0.608,0.955
clueweb12-1001wb-00-22630,197,5,6,0.748,0.888,0.827
clueweb12-0816wb-80-24581,134,4,2,0.724,0.701,0.618
clueweb12-0302wb-79-04467,959,20,3,0.668,0.479,0.589
clueweb12-1101wb-20-02693,24,2,1,0.768,0.571,0.711
clueweb12-0800wb-76-21385,0,0,0,0.000,0.000,0.000
clueweb12-0000wb-14-21482,0,0,0,0.000,0.000,0.000
clueweb12-0203wb-96-15930,2598,5,7,0.720,0.811,0.899
clueweb12-0108wb-06-15718,59,2,5,0.723,0.473,0.862
clueweb12-0200wb-34-08545,165,10,1,0.792,0.640,0.963
clueweb12-1607wb-64-00904,293,5,3,0.761,0.803,0.799
clueweb12-0807wb-20-00703,429,9,10,0.788,0.446,0.853
clueweb12-0008wb-02-31739,0,0,0,0.000,0.000,0.000
clueweb12-0904wb-10-02268,148,0,3,0.806,0.000,0.846
clueweb12-0902wb-21-10023,185,0,0,0.776,0.000,0.000
clueweb12-0105wb-52-31499,43,0,1,0.837,0.000,0.817
clueweb12-0509wb-23-22100,32,0,0,0.708,0.000,0.000
clueweb12-1603wb-59-16716,38,1,0,0.762,0.888,0.000
clueweb12-0608wb-51-13961,562,30,18,0.824,0.852,0.840
clueweb12-1117wb-24-08699,528,19,15,0.739,0.704,0.717
clueweb12-0211wb-84-28516,33,3,2,0.751,0.764,0.879
clueweb12-0909wb-36-17620,4189,26,46,0.805,0.673,0.775
clueweb12-0013wb-54-26165,487,17,44,0.734,0.551,0.731
clueweb12-1406wb-05-13476,128,0,0,0.751,0.000,0.000
clueweb12-0104wb-01-22079,1823,188,24,0.671,0.532,0.801
clueweb12-0303wb-16-26170,355,0,0,0.760,0.000,0.000
clueweb12-0913wb-40-12144,437,4,15,0.768,0.795,0.894
clueweb12-0912wb-08-23522,164,3,9,0.719,0.456,0.837
clueweb12-1913wb-56-06791,239,13,14,0.764,0.580,0.841
clueweb12-1200wb-52-06881,377,7,0,0.785,0.590,0.000
clueweb12-0200wb-40-29959,129,0,3,0.810,0.000,0.829
clueweb12-1913wb-11-26130,13,0,0,0.800,0.000,0.000
clueweb12-0312wb-22-29309,2595,73,45,0.724,0.656,0.758
clueweb12-1209wb-89-04023,279,2,1,0.654,0.578,0.955
clueweb12-0804wb-40-17367,976,2,0,0.795,0.608,0.000
clueweb12-1214wb-86-21417,52,0,0,0.765,0.000,0.000
clueweb12-1605wb-47-25792,337,18,16,0.722,0.597,0.889
clueweb12-1610wb-25-24367,192,0,1,0.776,0.000,0.832
clueweb12-0100wb-75-31978,132,1,0,0.741,0.888,0.000
clueweb12-0206wb-26-20389,626,20,42,0.774,0.647,0.825
clueweb12-0500wb-21-16245,0,0,0,0.000,0.000,0.000
clueweb12-0208wb-74-33504,44,0,1,0.761,0.000,0.985
clueweb12-1514wb-76-02750,44,0,0,0.706,0.000,0.000
clueweb12-1307wb-72-11645,413,13,5,0.684,0.606,0.817
clueweb12-1010wb-38-11857,213,10,0,0.798,0.888,0.000
clueweb12-0611wb-48-19671,75,5,7,0.677,0.644,0.678
clueweb12-1216wb-30-03361,119,6,6,0.776,0.714,0.773../data/clef16docs/clueweb12-1604wb-25-31323,1162,82,16,0.735,0.448,0.773
clueweb12-0401wb-37-34163,2199,31,27,0.764,0.809,0.704
clueweb12-1017wb-80-28328,0,0,0,0.000,0.000,0.000
clueweb12-0205wb-44-21277,301,30,10,0.738,0.573,0.796
clueweb12-1415wb-51-25453,359,0,0,0.748,0.000,0.000
clueweb12-0202wb-52-12903,42,0,7,0.842,0.000,0.764
clueweb12-0605wb-67-01897,2985,102,22,0.675,0.537,0.544
clueweb12-0111wb-15-30111,449,17,17,0.738,0.522,0.818
clueweb12-0907wb-51-25284,256,2,0,0.758,0.888,0.000
clueweb12-0000wb-12-19259,0,0,0,0.000,0.000,0.000
clueweb12-0305wb-90-17565,1072,43,67,0.776,0.570,0.761
clueweb12-1405wb-79-09390,141,1,0,0.785,0.888,0.000
clueweb12-0210wb-28-32470,1313,117,43,0.751,0.641,0.846
clueweb12-1512wb-91-06880,0,0,0,0.000,0.000,0.000
clueweb12-0705wb-58-10139,0,0,0,0.000,0.000,0.000
clueweb12-1205wb-37-15599,123,1,3,0.774,0.503,0.655
clueweb12-0200wb-96-19986,528,2,28,0.685,0.681,0.672
clueweb12-0503wb-79-28532,51,0,2,0.765,0.000,0.955
clueweb12-0901wb-93-26142,270,4,13,0.727,0.581,0.790
clueweb12-0504wb-52-10828,453,9,7,0.727,0.562,0.875
clueweb12-0506wb-96-08416,84,0,1,0.791,0.000,0.955
clueweb12-0408wb-59-20422,137,7,10,0.772,0.741,0.917
clueweb12-1102wb-79-09093,160,1,7,0.803,0.351,0.913
clueweb12-0917wb-07-14437,383,24,5,0.728,0.583,0.887
clueweb12-1303wb-68-11319,0,0,0,0.000,0.000,0.000
clueweb12-1909wb-13-31148,0,0,0,0.000,0.000,0.000
clueweb12-0407wb-18-29707,827,8,8,0.750,0.714,0.851
clueweb12-1600wb-92-22014,393,3,9,0.698,0.610,0.784
clueweb12-0011wb-60-01176,27,1,0,0.714,0.888,0.000
clueweb12-0012wb-29-15015,263,4,0,0.778,0.888,0.000
clueweb12-1410wb-67-02350,77,0,1,0.762,0.000,0.955
clueweb12-0816wb-25-12838,102,1,2,0.764,0.462,0.898
clueweb12-0500wb-21-23757,1247,56,14,0.771,0.760,0.629
clueweb12-0204wb-79-10374,505,0,0,0.765,0.000,0.000
clueweb12-1106wb-88-28295,172,1,3,0.785,0.608,0.693
clueweb12-1913wb-35-17922,2093,27,22,0.690,0.508,0.666
clueweb12-1214wb-82-08590,4432,214,24,0.718,0.614,0.768
clueweb12-1401wb-47-15036,140,2,2,0.739,0.678,0.879
clueweb12-0409wb-20-05968,632,6,8,0.774,0.527,0.800
clueweb12-0205wb-03-26829,332,23,12,0.668,0.571,0.670
clueweb12-0900tw-06-17178,215,12,2,0.798,0.396,0.721
clueweb12-0508wb-50-25801,505,1,0,0.779,0.888,0.000
clueweb12-1214wb-81-12313,50,2,0,0.733,0.550,0.000
clueweb12-0404wb-97-15692,90,4,12,0.778,0.858,0.889
clueweb12-0817wb-55-07120,767,7,6,0.777,0.808,0.630
clueweb12-0206wb-60-07399,1802,79,28,0.750,0.611,0.750
clueweb12-0500wb-34-10652,446,17,11,0.763,0.564,0.841
clueweb12-0210wb-79-21188,15,2,0,0.782,0.702,0.000
clueweb12-0012wb-04-15320,299,29,2,0.671,0.678,0.806
clueweb12-0300wb-39-25216,126,0,1,0.793,0.000,0.926
clueweb12-0307wb-05-23463,1253,15,11,0.792,0.632,0.851
clueweb12-0400tw-18-24952,391,6,6,0.763,0.708,0.669
clueweb12-0900tw-45-03733,160,1,3,0.789,0.888,0.840
clueweb12-1406wb-31-18030,15,0,0,0.783,0.000,0.000
clueweb12-1900wb-88-12409,14,0,0,0.794,0.000,0.000
clueweb12-1100tw-47-16844,414,1,24,0.787,0.890,0.620
clueweb12-1213wb-04-18882,1246,39,94,0.753,0.574,0.820
clueweb12-0703wb-57-10519,90,0,2,0.739,0.000,0.799
clueweb12-1809wb-42-15910,106,7,5,0.765,0.746,0.827
clueweb12-1702wb-74-21130,26,0,1,0.726,0.000,0.955
clueweb12-1515wb-98-01096,219,6,12,0.682,0.535,0.560
clueweb12-0200wb-59-35455,185,7,0,0.756,0.612,0.000
clueweb12-1607wb-69-28624,493,36,28,0.745,0.658,0.775
clueweb12-0810wb-01-11305,225,1,2,0.778,0.888,0.711
clueweb12-1200wb-42-00256,244,11,5,0.759,0.631,0.699
clueweb12-1713wb-27-21813,24,0,0,0.771,0.000,0.000
clueweb12-1814wb-97-23734,263,9,4,0.764,0.579,0.733
clueweb12-1610wb-22-15237,37,0,2,0.788,0.000,0.926
clueweb12-1107wb-25-26935,1037,14,28,0.653,0.428,0.834
clueweb12-0901wb-17-10529,84,4,0,0.743,0.657,0.000
clueweb12-1615wb-93-26073,23,0,3,0.796,0.000,0.736
clueweb12-0008wb-05-02323,49,0,0,0.763,0.000,0.000
clueweb12-0110wb-93-27106,123,0,0,0.755,0.000,0.000
clueweb12-1309wb-41-30182,276,13,1,0.718,0.516,0.571
clueweb12-0303wb-77-13743,241,23,6,0.686,0.603,0.789
clueweb12-0815wb-37-01491,1713,17,62,0.813,0.643,0.784
clueweb12-1801wb-34-16046,29,1,0,0.787,0.515,0.000
clueweb12-1115wb-15-14653,3984,11,14,0.789,0.395,0.891
clueweb12-1515wb-30-00858,982,32,6,0.737,0.659,0.675
clueweb12-1100wb-63-22033,90,0,0,0.725,0.000,0.000
clueweb12-0919wb-18-25652,293,15,16,0.708,0.476,0.567
clueweb12-1408wb-88-18070,183,0,5,0.731,0.000,0.817
clueweb12-1007wb-16-16195,84,0,4,0.801,0.000,0.893
clueweb12-1502wb-56-21215,0,0,0,0.000,0.000,0.000
clueweb12-0104wb-63-18803,0,0,0,0.000,0.000,0.000
clueweb12-0308wb-66-14367,542,56,19,0.754,0.683,0.851
clueweb12-0000wb-99-08805,17,0,0,0.817,0.000,0.000
clueweb12-0205wb-24-19885,38,0,0,0.794,0.000,0.000
clueweb12-0302wb-81-12849,239,5,6,0.757,0.512,0.786
clueweb12-1701wb-61-11822,222,25,4,0.770,0.639,0.886
clueweb12-1108wb-05-05121,738,6,8,0.808,0.468,0.759
clueweb12-1904wb-33-13164,16,0,0,0.808,0.000,0.000
clueweb12-1101wb-83-20511,0,0,0,0.000,0.000,0.000
clueweb12-0204wb-98-10568,0,0,0,0.000,0.000,0.000
clueweb12-1302wb-36-16630,0,0,0,0.000,0.000,0.000
clueweb12-1313wb-92-00760,0,0,0,0.000,0.000,0.000
clueweb12-0608wb-65-18099,0,0,0,0.000,0.000,0.000
clueweb12-0917wb-20-17368,419,15,12,0.755,0.731,0.797
clueweb12-0405wb-72-30304,107,2,0,0.720,0.888,0.000
clueweb12-1911wb-48-14951,526,4,3,0.761,0.696,0.544
clueweb12-1503wb-16-10621,0,0,0,0.000,0.000,0.000
clueweb12-0401wb-83-32019,31,0,0,0.770,0.000,0.000
clueweb12-0202wb-27-27460,1808,144,109,0.780,0.641,0.879
clueweb12-1017wb-87-19698,304,1,33,0.814,0.586,0.723
clueweb12-0300wb-32-17708,163,5,0,0.747,0.473,0.000
clueweb12-0000wb-19-14220,177,6,6,0.733,0.607,0.834
clueweb12-1909wb-68-02870,0,0,0,0.000,0.000,0.000
clueweb12-0307wb-24-11044,137,1,2,0.769,0.888,0.657
clueweb12-1308wb-29-26913,22,4,1,0.834,0.792,0.794
clueweb12-1101wb-52-11132,236,15,11,0.766,0.706,0.660
clueweb12-0704wb-14-06224,0,0,0,0.000,0.000,0.000
clueweb12-0110wb-53-17038,302,6,17,0.760,0.495,0.855
clueweb12-0201wb-47-30447,24,1,0,0.719,0.888,0.000
clueweb12-1803wb-05-27762,338,24,29,0.744,0.676,0.911
clueweb12-0409wb-09-10069,2865,143,7,0.746,0.474,0.844../data/clef16docs/clueweb12-1500wb-68-14423,29,0,0,0.768,0.000,0.000
clueweb12-0909wb-22-20077,90,16,1,0.759,0.600,0.941
clueweb12-0308wb-93-07638,654,5,51,0.775,0.549,0.836
clueweb12-0304wb-33-11085,108,10,3,0.758,0.668,0.832
clueweb12-1415wb-93-07215,0,0,0,0.000,0.000,0.000
clueweb12-1114wb-32-18374,2687,23,11,0.755,0.463,0.683
clueweb12-1805wb-93-25715,36,0,1,0.765,0.000,0.595
clueweb12-1202wb-28-18873,69,0,0,0.810,0.000,0.000
clueweb12-1100tw-18-08009,28,0,1,0.821,0.000,0.963
clueweb12-0109wb-85-26597,238,18,17,0.739,0.508,0.720
clueweb12-1209wb-65-18076,107,9,0,0.781,0.659,0.000
clueweb12-1201wb-38-06698,313,9,6,0.712,0.499,0.953
clueweb12-0202wb-24-30487,633,19,34,0.767,0.727,0.777
clueweb12-0201wb-94-18087,222,16,3,0.807,0.785,0.932
clueweb12-0401wb-52-19558,177,4,20,0.779,0.692,0.781
clueweb12-1010wb-96-07492,202,27,3,0.804,0.868,0.838
clueweb12-1804wb-58-15090,284,1,4,0.825,0.579,0.812
clueweb12-0604wb-58-09327,121,0,1,0.760,0.000,0.595
clueweb12-0206wb-05-26309,4027,61,27,0.753,0.669,0.853
clueweb12-1502wb-60-11615,37,0,0,0.711,0.000,0.000
clueweb12-0106wb-20-07730,477,11,7,0.781,0.580,0.791
clueweb12-0816wb-00-20399,48,0,0,0.772,0.000,0.000
clueweb12-0405wb-31-17895,222,1,7,0.785,0.888,0.900
clueweb12-1112wb-52-18214,963,23,2,0.670,0.585,0.926
clueweb12-0205wb-34-07974,120,1,3,0.717,0.902,0.914
clueweb12-0208wb-47-07130,19,2,0,0.773,0.644,0.000
clueweb12-0009wb-31-01105,678,24,32,0.735,0.551,0.734
clueweb12-1612wb-46-26870,133,6,0,0.701,0.507,0.000
clueweb12-1205wb-50-03859,120,1,1,0.758,0.900,0.571
clueweb12-1100wb-75-15779,3735,144,127,0.737,0.711,0.792
clueweb12-0202wb-64-00041,397,16,16,0.777,0.567,0.832
clueweb12-0009wb-96-00153,63,0,0,0.820,0.000,0.000
clueweb12-0504wb-57-05168,153,2,1,0.753,0.688,0.926
clueweb12-0600tw-04-17063,216,0,0,0.767,0.000,0.000
clueweb12-1602wb-36-19317,64,1,1,0.780,0.888,0.595
clueweb12-1209wb-07-33006,544,43,29,0.760,0.607,0.687
clueweb12-1510wb-27-10391,448,44,16,0.745,0.662,0.803
clueweb12-0706wb-26-10433,465,1,0,0.763,0.888,0.000
clueweb12-0100tw-09-10334,170,1,2,0.794,0.454,0.769
clueweb12-1102wb-27-15745,1852,95,17,0.776,0.591,0.735
clueweb12-0212wb-11-00307,0,0,0,0.000,0.000,0.000
clueweb12-0211wb-62-15403,0,0,0,0.000,0.000,0.000
clueweb12-1502wb-57-19697,83,6,1,0.754,0.758,0.794
clueweb12-1110wb-49-09014,0,0,0,0.000,0.000,0.000
clueweb12-1901wb-42-07501,0,0,0,0.000,0.000,0.000
clueweb12-0210wb-45-27922,1017,27,2,0.704,0.612,0.571
clueweb12-1712wb-36-05550,302,13,12,0.695,0.459,0.945
clueweb12-0102wb-92-30392,1364,56,1,0.742,0.654,0.686
clueweb12-0708wb-47-14250,93,0,0,0.777,0.000,0.000
clueweb12-1302wb-94-23834,65,0,0,0.755,0.000,0.000
clueweb12-0008wb-31-12530,23,0,0,0.804,0.000,0.000
clueweb12-0406wb-23-01491,240,4,4,0.768,0.661,0.923
clueweb12-0109wb-39-27362,722,21,2,0.769,0.624,0.883
clueweb12-0308wb-59-32969,514,2,5,0.764,0.888,0.761
clueweb12-1309wb-54-09223,474,19,1,0.695,0.628,0.571
clueweb12-0408wb-38-10355,272,10,10,0.769,0.632,0.797
clueweb12-1603wb-27-33872,261,20,1,0.751,0.719,0.926
clueweb12-1609wb-73-23010,6460,505,9,0.734,0.597,0.869
clueweb12-0303wb-89-06549,2206,35,14,0.761,0.619,0.663
clueweb12-1217wb-00-04138,960,30,26,0.778,0.706,0.903
