filename,n_chv_concepts,n_chv_dsyn_concepts,n_chv_sosy_concepts,avg_chv_value_all,avg_chv_value_dsyn,avg_chv_value_sosy,n_msh_concepts,n_msh_dsyn_concepts,n_msh_sosy_concepts,avg_tree_length_all,avg_tree_length_dsyn,avg_tree_length_sosy
clueweb12-0208wb-17-14678,82.0,6.0,4.0,0.765,0.588,0.675,52.0,6.0,4.0,4.885,3.0,7.25
clueweb12-1205wb-03-01893,359.0,15.0,2.0,0.754,0.757,0.761,193.0,16.0,1.0,4.192,4.0,10.0
clueweb12-0205wb-11-02131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1806wb-99-12961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1200wb-04-07932,1343.0,35.0,24.0,0.788,0.693,0.626,643.0,40.0,23.0,8.073,6.7,9.696
clueweb12-0308wb-55-26439,400.0,11.0,34.0,0.773,0.627,0.85,221.0,12.0,33.0,6.896,8.417,11.697
clueweb12-1717wb-20-25691,126.0,2.0,4.0,0.766,0.888,0.759,71.0,2.0,1.0,4.873,3.0,13.0
clueweb12-0206wb-10-10126,280.0,17.0,8.0,0.772,0.622,0.72,174.0,18.0,9.0,5.397,5.667,4.0
clueweb12-1012wb-62-02366,69.0,5.0,5.0,0.795,0.888,0.915,30.0,5.0,5.0,4.267,3.0,4.0
clueweb12-1001wb-02-03088,490.0,5.0,2.0,0.76,0.347,0.512,219.0,5.0,0.0,7.47,30.8,0.0
clueweb12-1303wb-72-12776,438.0,0.0,9.0,0.775,0.0,0.855,222.0,2.0,5.0,5.536,4.0,4.2
clueweb12-0204wb-74-01316,53.0,5.0,0.0,0.666,0.695,0.0,22.0,3.0,2.0,7.318,4.0,2.0
clueweb12-0000wb-22-20608,144.0,5.0,0.0,0.774,0.351,0.0,99.0,7.0,0.0,4.202,5.0,0.0
clueweb12-0107wb-56-18519,596.0,20.0,5.0,0.786,0.545,0.734,317.0,19.0,3.0,5.839,7.421,6.0
clueweb12-0200wb-66-08316,325.0,1.0,0.0,0.76,0.888,0.0,171.0,4.0,0.0,5.205,21.75,0.0
clueweb12-0000tw-32-13227,1777.0,27.0,33.0,0.789,0.636,0.777,989.0,35.0,28.0,6.173,8.6,10.357
clueweb12-1711wb-89-09803,493.0,8.0,18.0,0.722,0.738,0.76,329.0,10.0,15.0,7.55,6.1,8.133
clueweb12-1406wb-68-24276,186.0,3.0,19.0,0.769,0.668,0.735,113.0,3.0,17.0,7.195,5.333,10.235
clueweb12-0105wb-70-15819,13.0,0.0,0.0,0.825,0.0,0.0,7.0,0.0,0.0,5.143,0.0,0.0
clueweb12-1402wb-65-19223,129.0,1.0,0.0,0.741,0.351,0.0,77.0,3.0,0.0,4.662,8.333,0.0
clueweb12-0011wb-62-13685,185.0,14.0,22.0,0.757,0.603,0.745,93.0,14.0,14.0,5.731,5.214,6.929
clueweb12-0200tw-21-22442,281.0,5.0,4.0,0.768,0.671,0.802,178.0,5.0,3.0,4.876,5.0,4.667
clueweb12-0001wb-39-17046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0608wb-90-27487,1964.0,47.0,42.0,0.769,0.599,0.861,1147.0,64.0,18.0,6.788,9.453,8.722
clueweb12-0010wb-85-19379,240.0,5.0,33.0,0.785,0.473,0.828,138.0,5.0,29.0,6.087,6.0,8.586
clueweb12-1204wb-17-19743,205.0,1.0,2.0,0.772,0.588,0.74,128.0,1.0,2.0,5.133,3.0,5.0
clueweb12-0200wb-21-29769,81.0,7.0,0.0,0.754,0.626,0.0,41.0,7.0,0.0,5.268,6.429,0.0
clueweb12-0607wb-57-26563,273.0,13.0,5.0,0.78,0.646,0.685,158.0,13.0,4.0,6.399,5.385,3.5
clueweb12-0608wb-61-01990,52.0,7.0,1.0,0.721,0.665,0.657,30.0,7.0,1.0,4.9,3.571,3.0
clueweb12-0400tw-13-15041,18.0,1.0,1.0,0.662,0.888,0.955,16.0,1.0,1.0,4.312,3.0,13.0
clueweb12-1114wb-62-12369,759.0,27.0,11.0,0.765,0.622,0.739,508.0,29.0,5.0,6.126,6.655,6.8
clueweb12-0304wb-21-10698,259.0,2.0,18.0,0.8,0.721,0.833,131.0,3.0,8.0,5.924,2.0,9.0
clueweb12-1601wb-78-14510,264.0,5.0,8.0,0.71,0.68,0.857,156.0,8.0,5.0,5.0,4.0,14.8
clueweb12-0205wb-48-11391,21.0,2.0,0.0,0.724,0.632,0.0,11.0,1.0,0.0,7.273,8.0,0.0
clueweb12-0300tw-79-16163,264.0,16.0,5.0,0.733,0.555,0.836,149.0,18.0,4.0,6.121,5.389,9.75
clueweb12-1712wb-65-21911,41.0,0.0,0.0,0.816,0.0,0.0,32.0,0.0,0.0,5.219,0.0,0.0
clueweb12-0002wb-10-14995,39.0,1.0,0.0,0.837,0.888,0.0,27.0,1.0,0.0,3.556,3.0,0.0
clueweb12-0201wb-81-31089,2801.0,140.0,134.0,0.753,0.614,0.822,1672.0,132.0,119.0,4.795,4.402,9.454
clueweb12-1200wb-94-14422,521.0,7.0,12.0,0.752,0.687,0.818,330.0,6.0,18.0,5.694,5.0,9.778
clueweb12-0111wb-48-25789,41.0,2.0,0.0,0.852,0.688,0.0,19.0,2.0,0.0,6.421,5.0,0.0
clueweb12-1803wb-69-12785,324.0,10.0,6.0,0.787,0.656,0.633,170.0,14.0,6.0,6.441,12.429,3.5
clueweb12-0005wb-54-24693,882.0,4.0,28.0,0.729,0.888,0.777,493.0,9.0,14.0,5.193,3.667,7.5
clueweb12-1913wb-95-00456,56.0,0.0,1.0,0.756,0.0,0.963,26.0,0.0,0.0,5.077,0.0,0.0
clueweb12-0008wb-41-05656,51.0,0.0,0.0,0.707,0.0,0.0,25.0,0.0,0.0,5.92,0.0,0.0
clueweb12-0208wb-38-02899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0502wb-25-17498,97.0,6.0,6.0,0.679,0.629,0.693,67.0,7.0,6.0,5.806,5.286,10.0
clueweb12-1700tw-45-04425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1114wb-12-12106,627.0,9.0,3.0,0.797,0.62,0.732,388.0,8.0,2.0,6.129,5.25,9.0
clueweb12-0500wb-42-18865,726.0,3.0,2.0,0.777,0.594,0.709,422.0,4.0,1.0,4.526,14.25,9.0
clueweb12-0713wb-23-11946,57.0,1.0,1.0,0.762,0.888,0.752,27.0,1.0,0.0,6.556,3.0,0.0
clueweb12-0915wb-42-11173,54.0,3.0,0.0,0.789,0.888,0.0,29.0,3.0,0.0,7.552,3.0,0.0
clueweb12-0307wb-52-08066,399.0,16.0,7.0,0.792,0.794,0.903,225.0,17.0,7.0,4.911,3.882,12.571
clueweb12-1912wb-88-20259,3369.0,162.0,19.0,0.689,0.553,0.723,1887.0,166.0,15.0,5.785,4.277,7.0
clueweb12-0500wb-44-02653,241.0,6.0,5.0,0.77,0.688,0.885,128.0,9.0,2.0,5.719,7.778,8.5
clueweb12-0100wb-18-29108,172.0,8.0,12.0,0.774,0.546,0.744,105.0,8.0,9.0,6.067,7.625,8.222
clueweb12-0603wb-67-06154,131.0,0.0,1.0,0.733,0.0,0.595,56.0,0.0,1.0,5.75,0.0,10.0
clueweb12-1600wb-84-18236,381.0,11.0,7.0,0.691,0.654,0.848,180.0,12.0,9.0,4.522,4.583,9.111
clueweb12-0110wb-83-25700,954.0,55.0,20.0,0.778,0.593,0.92,585.0,54.0,16.0,5.909,11.278,11.875
clueweb12-0201wb-44-26570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0000wb-11-01491,440.0,25.0,0.0,0.804,0.795,0.0,271.0,26.0,0.0,4.517,3.692,0.0
clueweb12-0202wb-01-07733,593.0,29.0,15.0,0.72,0.716,0.87,339.0,29.0,8.0,5.678,6.276,10.25
clueweb12-1215wb-57-05336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0906wb-56-16940,587.0,5.0,6.0,0.771,0.483,0.721,362.0,5.0,5.0,4.599,10.6,8.8
clueweb12-1807wb-44-11929,1766.0,22.0,13.0,0.788,0.581,0.814,983.0,29.0,8.0,5.87,11.552,7.75
clueweb12-0809wb-58-01514,57.0,1.0,1.0,0.734,0.078,0.926,34.0,1.0,0.0,6.912,5.0,0.0
clueweb12-1902wb-41-06155,596.0,6.0,31.0,0.749,0.636,0.879,330.0,7.0,27.0,5.555,8.286,11.741
clueweb12-0410wb-41-13334,372.0,1.0,5.0,0.807,0.588,0.768,237.0,2.0,3.0,5.793,19.0,6.667
clueweb12-0400tw-60-03174,207.0,4.0,0.0,0.804,0.747,0.0,126.0,6.0,0.0,6.865,3.167,0.0
clueweb12-1015wb-11-01456,85.0,1.0,3.0,0.73,0.888,0.754,54.0,1.0,2.0,5.759,3.0,9.0
clueweb12-1705wb-31-09494,357.0,2.0,26.0,0.72,0.626,0.934,196.0,2.0,25.0,5.776,4.0,12.4
clueweb12-0013wb-10-21219,287.0,7.0,2.0,0.797,0.576,0.694,163.0,9.0,2.0,6.748,8.111,5.0
clueweb12-1610wb-70-11119,566.0,1.0,29.0,0.75,0.888,0.926,302.0,6.0,21.0,5.099,5.0,10.095
clueweb12-1711wb-48-16529,525.0,9.0,19.0,0.763,0.732,0.771,318.0,12.0,18.0,5.909,4.25,6.833
clueweb12-0402wb-23-04209,135.0,14.0,0.0,0.754,0.637,0.0,84.0,16.0,0.0,5.321,5.5,0.0
clueweb12-1311wb-07-02611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0210wb-39-32007,221.0,4.0,9.0,0.744,0.688,0.639,115.0,5.0,7.0,6.765,4.6,5.429
clueweb12-1115wb-76-22424,279.0,30.0,2.0,0.727,0.631,0.769,176.0,29.0,1.0,6.733,8.759,3.0
clueweb12-1900wb-84-09859,1372.0,19.0,13.0,0.773,0.584,0.822,787.0,30.0,9.0,5.797,8.0,11.222
clueweb12-1614wb-71-01792,3890.0,124.0,51.0,0.745,0.548,0.816,2364.0,161.0,39.0,5.822,10.752,9.333
clueweb12-0405wb-87-25017,50.0,0.0,3.0,0.782,0.0,0.813,35.0,1.0,3.0,6.8,28.0,7.0
clueweb12-1807wb-24-14673,1695.0,12.0,2.0,0.76,0.662,0.926,1099.0,18.0,0.0,4.973,7.0,0.0
clueweb12-1902wb-50-07808,229.0,3.0,1.0,0.796,0.888,0.657,151.0,3.0,1.0,3.735,3.0,3.0
clueweb12-0005wb-11-24387,450.0,1.0,1.0,0.771,0.888,0.963,283.0,1.0,0.0,4.403,3.0,0.0
clueweb12-0100wb-83-08401,194.0,6.0,2.0,0.777,0.701,0.632,113.0,8.0,1.0,5.274,3.75,4.0
clueweb12-0402wb-81-30341,31.0,0.0,0.0,0.724,0.0,0.0,18.0,0.0,0.0,4.889,0.0,0.0
clueweb12-0304wb-47-16842,564.0,13.0,14.0,0.783,0.793,0.891,320.0,22.0,9.0,6.506,5.045,13.333
clueweb12-1200tw-40-17937,119.0,0.0,0.0,0.786,0.0,0.0,76.0,2.0,0.0,5.487,4.0,0.0
clueweb12-0102wb-64-23918,20.0,0.0,0.0,0.867,0.0,0.0,13.0,0.0,0.0,4.308,0.0,0.0
clueweb12-1020wb-79-23123,120.0,7.0,2.0,0.776,0.684,0.761,67.0,6.0,1.0,5.194,5.167,10.0
clueweb12-1717wb-08-18272,172.0,0.0,4.0,0.759,0.0,0.856,98.0,0.0,2.0,6.459,0.0,13.0
clueweb12-0203wb-44-27528,1094.0,20.0,16.0,0.788,0.596,0.692,552.0,20.0,9.0,6.583,4.4,7.556
clueweb12-0002wb-19-03597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1807wb-90-13657,335.0,15.0,4.0,0.776,0.736,0.951,205.0,14.0,3.0,5.507,2.143,13.0
clueweb12-0807wb-15-28191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1018wb-30-16529,131.0,2.0,2.0,0.764,0.833,0.934,74.0,2.0,2.0,5.014,12.5,16.0
clueweb12-0003wb-73-06369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0903wb-19-07786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0402wb-67-07990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0805wb-53-14980,219.0,1.0,0.0,0.795,0.489,0.0,131.0,1.0,0.0,5.374,6.0,0.0
clueweb12-0905wb-58-26686,950.0,9.0,8.0,0.728,0.799,0.647,359.0,12.0,0.0,6.006,5.583,0.0
clueweb12-0910wb-33-07468,423.0,4.0,23.0,0.735,0.498,0.917,260.0,6.0,18.0,6.238,7.0,12.833
clueweb12-1912wb-36-01696,1109.0,4.0,18.0,0.756,0.508,0.807,563.0,10.0,17.0,6.71,10.7,8.353
clueweb12-1213wb-68-08124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1011wb-90-23579,410.0,5.0,15.0,0.726,0.478,0.892,264.0,5.0,13.0,8.027,11.6,10.0
clueweb12-0100wb-15-13599,1233.0,17.0,13.0,0.789,0.676,0.676,751.0,18.0,11.0,5.414,5.944,7.364
clueweb12-1804wb-59-06243,188.0,25.0,0.0,0.709,0.624,0.0,142.0,25.0,0.0,3.937,3.44,0.0
clueweb12-0111wb-60-21410,787.0,45.0,6.0,0.762,0.512,0.88,494.0,50.0,1.0,6.01,5.94,10.0
clueweb12-0511wb-00-14828,34.0,4.0,2.0,0.773,0.665,0.9,31.0,4.0,2.0,5.419,8.5,6.0
clueweb12-0305wb-04-17982,3770.0,101.0,65.0,0.743,0.7,0.84,2123.0,175.0,54.0,5.889,5.971,9.963
clueweb12-0107wb-20-19259,384.0,16.0,22.0,0.72,0.564,0.72,218.0,29.0,17.0,4.564,4.517,5.706
clueweb12-0110wb-29-03446,70.0,0.0,3.0,0.777,0.0,0.963,45.0,0.0,0.0,5.267,0.0,0.0
clueweb12-0403wb-20-16529,329.0,25.0,1.0,0.711,0.708,0.571,207.0,26.0,0.0,5.812,3.692,0.0
clueweb12-0602wb-76-24795,346.0,19.0,16.0,0.81,0.668,0.824,229.0,22.0,13.0,5.843,5.227,11.077
clueweb12-0703wb-55-21144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0310wb-98-02113,171.0,17.0,6.0,0.723,0.652,0.848,112.0,24.0,5.0,5.616,6.042,9.2
clueweb12-1200wb-96-17029,709.0,50.0,30.0,0.737,0.538,0.832,398.0,55.0,23.0,6.807,12.727,8.348
clueweb12-0408wb-39-34101,139.0,8.0,6.0,0.755,0.678,0.585,83.0,8.0,4.0,4.807,4.75,3.5
clueweb12-1304wb-56-23313,162.0,0.0,0.0,0.825,0.0,0.0,98.0,0.0,0.0,4.459,0.0,0.0
clueweb12-0818wb-55-19770,302.0,12.0,4.0,0.734,0.557,0.788,193.0,12.0,3.0,5.409,3.75,10.667
clueweb12-1007wb-23-28084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1512wb-67-05800,113.0,1.0,10.0,0.761,0.888,0.709,62.0,5.0,10.0,5.516,3.4,9.8
clueweb12-1408wb-59-15674,675.0,6.0,23.0,0.776,0.561,0.798,430.0,8.0,20.0,6.533,7.0,5.75
clueweb12-0607wb-07-17091,196.0,2.0,9.0,0.787,0.608,0.955,137.0,2.0,9.0,6.562,12.5,12.444
clueweb12-1001wb-00-22630,197.0,5.0,6.0,0.748,0.888,0.827,104.0,6.0,3.0,4.462,3.0,13.0
clueweb12-0816wb-80-24581,134.0,4.0,2.0,0.724,0.701,0.618,80.0,4.0,0.0,4.925,3.5,0.0
clueweb12-0302wb-79-04467,959.0,20.0,3.0,0.668,0.479,0.589,499.0,20.0,1.0,6.006,4.2,3.0
clueweb12-1101wb-20-02693,24.0,2.0,1.0,0.768,0.571,0.711,16.0,2.0,1.0,4.312,6.0,3.0
clueweb12-0800wb-76-21385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0000wb-14-21482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0203wb-96-15930,2598.0,5.0,7.0,0.72,0.811,0.899,1149.0,14.0,1.0,6.378,4.0,2.0
clueweb12-0108wb-06-15718,59.0,2.0,5.0,0.723,0.473,0.862,31.0,2.0,5.0,5.194,6.0,7.4
clueweb12-0200wb-34-08545,165.0,10.0,1.0,0.792,0.64,0.963,103.0,2.0,0.0,5.0,13.0,0.0
clueweb12-1607wb-64-00904,293.0,5.0,3.0,0.761,0.803,0.799,180.0,4.0,3.0,6.022,2.5,4.667
clueweb12-0807wb-20-00703,429.0,9.0,10.0,0.788,0.446,0.853,203.0,10.0,5.0,6.66,10.3,9.2
clueweb12-0008wb-02-31739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0904wb-10-02268,148.0,0.0,3.0,0.806,0.0,0.846,55.0,1.0,1.0,6.891,3.0,4.0
clueweb12-0902wb-21-10023,185.0,0.0,0.0,0.776,0.0,0.0,101.0,0.0,0.0,6.535,0.0,0.0
clueweb12-0105wb-52-31499,43.0,0.0,1.0,0.837,0.0,0.817,21.0,0.0,0.0,6.286,0.0,0.0
clueweb12-0509wb-23-22100,32.0,0.0,0.0,0.708,0.0,0.0,18.0,0.0,0.0,4.333,0.0,0.0
clueweb12-1603wb-59-16716,38.0,1.0,0.0,0.762,0.888,0.0,25.0,1.0,0.0,5.16,3.0,0.0
clueweb12-0608wb-51-13961,562.0,30.0,18.0,0.824,0.852,0.84,312.0,28.0,12.0,6.481,5.429,6.833
clueweb12-1117wb-24-08699,528.0,19.0,15.0,0.739,0.704,0.717,315.0,21.0,7.0,5.095,4.619,7.143
clueweb12-0211wb-84-28516,33.0,3.0,2.0,0.751,0.764,0.879,20.0,3.0,0.0,3.8,5.0,0.0
clueweb12-0909wb-36-17620,4189.0,26.0,46.0,0.805,0.673,0.775,2254.0,60.0,34.0,6.598,5.567,7.824
clueweb12-0013wb-54-26165,487.0,17.0,44.0,0.734,0.551,0.731,253.0,15.0,33.0,5.668,5.533,7.242
clueweb12-1406wb-05-13476,128.0,0.0,0.0,0.751,0.0,0.0,54.0,0.0,0.0,14.685,0.0,0.0
clueweb12-0104wb-01-22079,1823.0,188.0,24.0,0.671,0.532,0.801,1144.0,181.0,24.0,6.201,7.768,7.667
clueweb12-0303wb-16-26170,355.0,0.0,0.0,0.76,0.0,0.0,107.0,0.0,0.0,5.458,0.0,0.0
clueweb12-0913wb-40-12144,437.0,4.0,15.0,0.768,0.795,0.894,260.0,6.0,13.0,5.635,3.5,8.308
clueweb12-0912wb-08-23522,164.0,3.0,9.0,0.719,0.456,0.837,104.0,3.0,7.0,5.894,9.667,10.143
clueweb12-1913wb-56-06791,239.0,13.0,14.0,0.764,0.58,0.841,121.0,13.0,7.0,6.744,5.308,10.429
clueweb12-1200wb-52-06881,377.0,7.0,0.0,0.785,0.59,0.0,206.0,8.0,0.0,4.519,6.5,0.0
