filename,n_abbrs,n_as,n_blockquotes,n_bolds,n_cites,n_divs,n_dls,n_forms,n_h1s,n_h2s,n_h3s,n_h4s,n_h5s,n_h6s,n_hs,n_imgs,n_inputs,n_links,n_lists,n_ols,n_ps,n_qs,n_scripts,n_spans,n_table,n_uls
clueweb12-0300wb-48-15629,0,412,1,2,0,557,0,1,0,0,0,0,0,0,0,289,4,1,0,0,571,0,10,88,1,0
clueweb12-1813wb-27-19918,0,59,0,0,0,39,0,1,2,5,0,0,0,0,7,8,7,12,6,0,10,0,14,6,2,6
clueweb12-1102wb-32-11038,0,138,0,0,0,169,0,2,1,2,0,0,0,0,3,22,8,10,9,0,267,0,10,34,0,9
clueweb12-1705wb-98-18260,0,82,0,0,0,37,0,2,2,1,1,0,1,4,5,8,4,2,9,0,20,0,3,2,0,9
clueweb12-0208wb-26-10895,0,21,0,30,0,3,0,0,0,0,0,1,0,0,1,1,0,0,6,0,102,0,0,190,4,6
clueweb12-1005wb-16-08923,0,2869,0,6,0,429,3,2,1,6,12,6,0,0,25,4,24,11,184,1,61,0,0,409,101,180
clueweb12-1501wb-40-28266,0,236,0,0,0,41,0,1,3,0,0,0,0,0,3,0,2,6,34,0,5,0,11,0,0,34
clueweb12-0207wb-42-15352,30,114,0,0,0,96,0,1,8,6,0,0,0,0,14,15,2,138,9,0,36,0,9,10,0,9
clueweb12-0000wb-33-26607,0,189,0,0,0,10,0,1,0,1,0,0,0,0,1,1,5,2,2,0,2,0,2,0,2,2
clueweb12-0103wb-00-13076,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,57,0,1,0,10,2
clueweb12-1200wb-96-17029,0,236,0,0,0,14,0,0,2,0,0,0,0,0,2,0,0,5,7,0,72,0,4,1,0,7
clueweb12-0103wb-34-15662,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,1,0
clueweb12-0808wb-94-07743,0,576,0,0,0,535,0,2,3,241,0,0,0,0,244,9,12,9,10,0,238,0,12,784,237,10
clueweb12-0201wb-35-33177,0,101,0,0,0,75,0,3,1,7,15,0,0,0,23,26,19,8,6,2,29,0,24,3,0,4
clueweb12-0703wb-93-13969,0,180,0,5,0,178,0,7,1,4,7,1,1,0,14,14,26,3,34,0,29,0,33,74,0,34
clueweb12-0210wb-99-03248,0,46,0,4,0,52,0,4,3,5,0,2,0,0,10,7,30,16,3,0,16,0,11,23,3,3
clueweb12-0700wb-29-05624,0,294,0,0,0,106,0,1,1,2,15,2,0,0,20,7,10,18,31,0,21,0,24,167,0,31
clueweb12-0805wb-52-19872,0,272,0,11,0,187,0,4,1,58,0,0,0,0,59,42,14,4,68,0,199,0,32,136,5,68
clueweb12-1710wb-64-16650,1,59,0,0,0,39,0,0,1,0,2,0,0,0,3,4,0,10,9,1,19,0,12,7,0,8
clueweb12-1901wb-31-18149,2,72,0,0,0,42,0,1,1,1,10,0,0,0,12,4,2,9,9,0,1,0,3,41,0,9
clueweb12-1206wb-90-05324,0,70,0,0,0,52,0,1,1,3,0,0,0,0,4,1,2,14,2,0,11,0,12,1,0,2
clueweb12-0200tw-75-15354,0,173,1,0,4,83,2,3,1,2,2,0,0,0,5,29,11,18,21,1,31,0,32,16,0,18
clueweb12-0208wb-13-07246,0,36,0,0,0,22,0,1,3,0,0,0,0,0,3,3,8,3,2,0,27,0,6,31,0,2
clueweb12-1714wb-56-14463,0,210,0,7,0,92,0,2,1,4,15,3,0,0,23,7,4,5,35,0,23,0,14,4,0,35
clueweb12-1702wb-44-24026,2,92,0,0,0,35,0,1,1,14,0,0,0,0,15,0,2,7,15,0,27,0,5,7,0,15
clueweb12-0011wb-84-21846,0,56,0,1,0,22,0,1,0,0,0,0,0,0,0,20,8,2,6,0,70,0,2,24,17,6
clueweb12-0208wb-26-30017,0,20,0,0,0,11,0,1,1,0,5,2,0,0,8,3,7,2,2,1,15,0,0,2,0,1
clueweb12-0606wb-70-14585,0,56,0,20,0,10,0,0,0,1,0,0,0,0,1,9,0,12,17,0,44,0,4,0,0,17
clueweb12-1501wb-32-02577,0,68,0,0,0,33,0,0,0,0,1,0,0,0,1,14,0,2,0,0,32,0,3,4,0,0
clueweb12-0209wb-12-02455,0,116,0,15,0,5,0,4,3,0,2,0,0,0,5,85,15,1,0,0,7,0,14,37,68,0
clueweb12-0009wb-89-09859,0,741,0,2,0,4,0,2,0,0,0,0,0,0,0,115,8,4,9,0,30,0,4,359,9,9
clueweb12-0111wb-23-24817,0,70,0,0,0,0,0,1,1,0,2,2,1,1,6,28,4,0,0,0,74,0,6,0,7,0
clueweb12-1809wb-00-09021,0,16,0,0,0,1,0,2,0,0,0,0,0,0,0,75,7,1,0,0,28,0,4,38,10,0
clueweb12-1503wb-69-02029,0,19,0,0,0,22,0,0,1,0,1,0,0,0,2,2,0,4,1,0,1,0,5,0,0,1
clueweb12-1803wb-37-12247,0,21,0,0,0,24,0,1,1,0,1,0,0,0,2,1,2,13,2,0,2,0,5,0,0,2
clueweb12-0001wb-53-08246,0,93,0,3,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,22,0,9,0,8,0
clueweb12-0207wb-59-02791,0,31,0,4,0,4,0,1,1,14,0,0,0,0,15,42,0,1,3,0,28,0,23,37,10,3
clueweb12-0918wb-19-10221,0,2,0,0,0,5,0,0,1,0,0,0,0,0,1,6,0,0,0,0,2,0,2,62,0,0
clueweb12-1007wb-41-22849,0,232,0,0,0,79,0,1,0,8,2,0,1,0,11,1,4,3,21,0,8,0,16,48,6,21
clueweb12-0500wb-21-23757,0,65,0,0,0,12,0,0,0,1,1,0,0,0,2,24,0,2,0,0,38,0,3,4,9,0
clueweb12-1500wb-14-18056,2,104,0,0,0,61,0,0,0,10,6,0,0,0,16,2,0,8,8,0,39,0,7,52,0,8
clueweb12-1705wb-88-29147,0,39,0,8,0,0,0,3,0,0,0,0,0,0,0,23,8,0,0,0,6,0,1,0,7,0
clueweb12-1901wb-32-18227,0,25,0,0,0,10,0,0,0,1,1,0,0,0,2,12,0,1,0,0,2,0,0,5,5,0
clueweb12-0000tw-25-17829,0,222,0,98,0,10,0,3,0,0,0,0,0,0,0,260,7,45,1,0,0,0,43,188,104,1
clueweb12-0102wb-48-10340,0,55,0,0,0,25,0,0,0,0,1,3,0,0,4,66,0,1,2,0,8,0,0,47,0,2
clueweb12-0112wb-41-22903,0,39,0,0,0,13,0,1,1,2,4,0,0,0,7,10,4,1,1,0,23,0,8,6,1,1
clueweb12-1606wb-85-09686,0,51,0,0,0,155,0,1,1,0,1,6,0,0,8,5,4,13,15,0,19,0,18,15,8,15
clueweb12-1604wb-36-17849,0,380,0,1,0,19,4,1,1,1,0,0,0,0,2,6,2,8,717,0,13,0,5,41,0,713
clueweb12-0208wb-99-00909,0,88,0,4,0,5,0,2,0,0,0,0,0,0,0,57,4,2,0,0,109,0,1,0,17,0
clueweb12-1118wb-80-07238,0,113,1,0,0,141,0,5,3,2,2,0,2,3,9,9,9,6,17,0,13,0,17,65,0,17
clueweb12-1606wb-61-15146,0,82,0,10,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,33,0,3,87,12,0
clueweb12-1514wb-43-06636,0,294,0,1,0,41,0,0,2,11,6,0,0,0,19,3,1,10,9,0,42,0,0,24,0,9
clueweb12-0012wb-54-18363,0,20,0,2,0,3,0,1,1,5,0,1,0,0,7,19,4,2,0,0,75,0,8,34,11,0
clueweb12-0203wb-89-08936,0,440,0,1,0,17,0,0,1,0,2,0,0,0,3,2,0,2,1,0,13,0,7,0,7,1
clueweb12-1402wb-72-06254,0,41,0,1,0,36,0,2,1,7,0,0,0,0,8,33,11,13,4,2,15,0,24,2,0,2
clueweb12-1007wb-90-20326,0,17,0,0,0,87,0,0,1,9,0,0,0,0,10,14,0,6,1,0,49,0,0,18,0,1
clueweb12-1507wb-19-04653,0,77,0,0,0,27,0,1,0,0,18,0,0,0,18,24,4,7,5,0,34,0,2,17,2,5
clueweb12-1807wb-24-14673,0,113,0,47,0,3,0,0,0,0,0,0,3,0,3,2,0,5,0,0,199,0,1,430,3,0
clueweb12-1702wb-38-04611,0,195,0,1,0,101,0,3,1,0,1,11,0,0,13,18,18,12,9,2,21,0,38,44,0,7
clueweb12-0100wb-56-18168,0,29,0,0,0,4,0,0,0,0,0,0,0,0,0,52,0,4,1,0,5,0,2,1,62,1
clueweb12-1100wb-88-02252,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,0,0,0,0
clueweb12-0110wb-05-27489,0,163,0,0,0,58,0,2,1,1,0,0,0,0,2,40,5,5,8,0,286,0,27,153,22,8
clueweb12-1406wb-17-17302,2,171,0,0,0,31,0,0,1,3,7,0,0,0,11,0,0,11,8,0,3,0,5,37,0,8
clueweb12-1410wb-67-02350,0,43,0,0,0,269,0,1,1,6,0,0,0,0,7,4,16,5,22,0,20,0,15,38,0,22
clueweb12-0818wb-42-07786,0,220,0,9,0,134,0,4,2,6,0,0,0,0,8,159,15,11,12,0,5,0,27,36,3,12
clueweb12-0910wb-04-16125,0,62,0,0,0,65,0,0,1,6,1,0,0,0,8,13,1,3,11,0,26,0,19,3,1,11
clueweb12-1614wb-61-20876,0,235,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
clueweb12-1712wb-25-02917,0,143,0,12,0,145,0,4,3,5,5,0,0,0,13,44,29,5,4,2,17,6,27,129,4,2
clueweb12-1316wb-39-10520,0,35,0,2,0,0,0,0,1,0,0,0,1,0,2,8,0,1,0,0,11,0,6,0,6,0
clueweb12-0304wb-37-32503,0,83,0,0,0,16,0,0,1,0,0,0,0,0,1,4,0,3,6,0,57,0,6,5,4,6
clueweb12-1400tw-72-17968,0,489,0,4,0,353,0,11,11,25,13,4,19,2,72,89,65,15,31,0,58,0,40,276,0,31
clueweb12-1609wb-45-15938,1,111,0,0,0,34,0,1,1,16,0,0,0,0,17,1,1,32,8,0,156,0,0,17,0,8
clueweb12-1715wb-55-01605,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0
clueweb12-0012wb-34-03842,0,29,0,0,0,16,0,1,1,2,0,0,0,0,3,9,3,2,2,0,6,0,8,1,5,2
clueweb12-0007wb-13-21745,0,112,0,0,0,156,0,3,1,3,3,0,0,0,7,17,16,4,21,0,42,0,8,14,0,21
clueweb12-0211wb-49-23724,0,116,0,0,0,22,0,2,1,0,0,0,0,0,1,13,5,3,5,0,7,0,10,1,2,5
clueweb12-1606wb-94-00055,0,54,0,0,0,159,0,1,1,0,0,0,0,0,1,9,4,6,1,0,16,0,11,25,12,1
clueweb12-0104wb-16-01848,0,648,0,0,0,68,0,1,1,1,10,6,0,0,18,23,7,4,11,0,27,0,38,25,33,11
clueweb12-1211wb-50-02046,0,213,0,0,0,27,0,2,1,6,2,0,0,0,9,35,14,4,4,0,9,0,14,0,2,4
clueweb12-1500wb-73-14549,0,71,0,2,0,20,0,1,0,0,4,0,0,0,4,23,5,4,2,0,37,0,6,32,11,2
clueweb12-1803wb-10-09536,0,479,1,41,0,26,4,2,0,1,27,20,0,0,48,56,6,0,56,1,155,0,0,2,54,51
clueweb12-1209wb-71-11509,0,37,0,0,0,11,0,1,0,0,0,0,0,0,0,2,2,2,1,0,2,0,7,5,1,1
clueweb12-1505wb-01-13045,0,311,0,0,0,32,0,0,1,5,10,0,0,0,16,0,0,12,5,0,21,0,0,0,0,5
clueweb12-1603wb-05-00565,0,114,0,9,0,130,0,4,2,5,0,0,0,0,7,38,16,11,11,0,5,0,29,26,3,11
clueweb12-0511wb-92-31571,0,42,0,12,0,2,0,0,0,0,0,10,0,0,10,2,0,0,0,0,0,0,0,0,6,0
clueweb12-0210wb-27-23267,0,119,0,0,0,37,0,3,2,2,8,3,0,0,15,11,15,5,23,1,17,0,20,9,1,22
clueweb12-1416wb-48-00173,0,31,0,0,0,35,0,0,0,0,1,0,0,0,1,14,0,0,8,0,35,0,6,9,2,8
clueweb12-0716wb-94-21578,0,7,0,4,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,57,0,0,0,1,0
clueweb12-1302wb-53-02445,0,62,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,9,2,36,0,2,0,6,7
clueweb12-1609wb-69-28895,0,26,0,11,0,5,0,1,1,1,8,2,0,0,12,21,15,0,1,0,400,0,13,5,4,1
clueweb12-0916wb-60-25024,0,69,0,0,0,32,0,2,8,0,3,0,0,0,11,6,4,4,2,2,17,0,4,0,1,0
clueweb12-0412wb-03-25255,0,16,0,18,0,5,0,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,9,0,9,0
clueweb12-1613wb-00-02435,0,266,0,0,103,461,0,2,1,3,5,0,0,0,9,126,9,9,41,4,154,0,18,117,0,37
clueweb12-1107wb-01-22610,1,424,4,43,0,203,0,4,2,7,1,0,0,0,10,29,17,12,79,0,20,0,29,208,6,79
clueweb12-1901wb-36-07445,0,268,0,56,0,133,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,53,3,0
clueweb12-0210wb-01-33857,0,87,0,0,0,16,0,1,0,0,0,0,0,0,0,48,3,2,7,1,30,0,7,78,69,6
clueweb12-1515wb-72-12169,2,726,0,3,184,604,0,3,2,20,188,0,0,0,210,211,30,24,27,1,228,0,25,200,4,26
clueweb12-0104wb-48-23181,0,228,0,0,0,114,1,2,1,3,19,6,0,0,29,27,8,3,23,0,29,0,31,13,0,22
clueweb12-0306wb-24-18082,0,87,0,10,0,43,0,1,1,9,14,0,0,0,24,23,2,4,13,0,36,0,14,14,0,13
clueweb12-0917wb-59-16785,0,272,0,0,2,20,0,1,4,15,0,0,0,0,19,472,3,0,0,0,111,0,0,0,81,0
clueweb12-0010wb-13-16709,0,173,0,0,0,81,0,3,1,7,20,0,0,0,28,25,20,8,11,2,71,0,23,4,1,9
clueweb12-1311wb-85-32411,0,320,0,0,0,809,0,0,1,0,0,0,2,0,3,35,19,2,41,0,50,0,25,28,2,41
clueweb12-0500wb-04-32562,0,493,0,5,0,42,0,3,1,0,0,0,0,0,1,13,26,3,5,0,10,0,22,9,7,5
clueweb12-0007wb-39-34248,0,18,0,2,0,7,0,1,0,0,0,0,0,0,0,19,2,1,3,3,6,0,1,1,5,0
clueweb12-0209wb-99-26568,0,31,1,4,0,2,0,0,0,0,0,0,0,0,0,23,0,1,0,0,32,0,0,0,6,0
clueweb12-1511wb-21-28752,0,1203,0,0,0,18,0,2,1,0,5,0,0,1,6,20,2,2,7,0,14,0,18,12,3,7
clueweb12-0301tw-47-21023,0,40,0,0,0,78,0,1,1,0,0,3,0,0,4,7,1,3,5,0,0,0,8,2,0,5
clueweb12-1700wb-65-11792,0,152,0,0,0,61,0,1,7,1,11,0,0,0,19,6,6,3,20,0,42,0,15,11,10,20
clueweb12-1404wb-99-17963,0,32,0,2,0,10,0,0,1,5,0,0,0,0,6,15,0,2,2,1,9,0,5,3,8,1
clueweb12-0001wb-04-22801,0,100,0,1,0,65,0,3,1,14,0,0,0,0,15,5,20,3,12,4,3,0,29,3,0,8
clueweb12-1900tw-46-17867,0,109,0,0,0,27,0,2,1,4,1,0,0,0,6,12,5,11,11,0,31,0,14,34,1,11
clueweb12-0911wb-24-19516,0,13,0,16,0,12,0,3,1,8,0,0,0,0,9,3,10,0,0,0,10,0,8,1,6,0
clueweb12-1603wb-10-02270,0,345,0,0,0,19,4,1,1,1,0,0,0,0,2,6,2,8,622,0,11,0,5,24,0,618
clueweb12-1912wb-28-03700,0,177,0,4,0,31,0,1,1,0,6,0,0,0,7,0,7,13,4,0,19,0,15,0,1,4
clueweb12-0205wb-02-14755,0,18,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0
clueweb12-0512wb-00-26945,0,45,0,0,0,10,0,0,1,0,0,21,0,0,22,3,0,1,1,0,24,0,2,0,0,1
clueweb12-1310wb-84-15636,0,143,0,34,0,13,0,1,0,0,0,0,0,0,0,34,17,3,0,0,97,0,47,1,71,0
clueweb12-1800wb-31-12782,0,168,0,0,0,56,0,2,1,5,0,4,0,0,10,11,19,3,28,0,13,0,5,164,4,28
clueweb12-1300wb-89-09515,0,105,0,0,0,57,0,4,1,3,3,0,0,0,7,12,15,12,12,0,8,0,23,3,1,12
clueweb12-0000tw-07-10820,0,196,16,0,0,100,0,2,1,0,1,6,0,0,8,67,16,9,22,0,51,0,35,23,14,22
clueweb12-0714wb-41-25273,0,43,0,9,0,2,0,2,0,0,0,0,0,0,0,20,3,10,0,0,0,0,4,27,13,0
clueweb12-1603wb-03-04886,0,471,0,0,0,20,4,1,1,1,0,0,0,0,2,6,2,8,779,0,10,0,5,21,0,775
clueweb12-0401wb-51-08117,0,146,0,0,0,77,0,3,1,7,16,0,0,0,24,26,20,8,9,2,73,0,23,3,1,7
clueweb12-0309wb-22-19661,0,132,0,0,11,117,0,5,10,1,5,0,0,0,16,19,43,27,14,1,75,0,23,32,0,13
clueweb12-1912wb-98-16766,0,727,0,7,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,0,3,1,0,0
clueweb12-0400wb-60-19346,0,287,1,0,0,195,0,4,1,18,6,0,0,0,25,49,16,8,13,0,94,0,27,47,1,13
clueweb12-1300tw-43-14952,1,94,0,2,0,40,0,1,2,9,1,0,0,0,12,14,5,11,18,0,29,0,10,1,4,18
clueweb12-1712wb-99-18369,0,6,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
clueweb12-0106wb-35-20068,0,1104,0,0,0,5,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,1,0
clueweb12-1400wb-35-01806,0,93,0,0,0,75,0,1,1,2,7,5,0,0,15,9,4,5,7,0,23,0,18,25,1,7
clueweb12-0406wb-38-03712,0,76,0,0,0,23,0,0,4,7,1,0,0,0,12,18,0,8,6,0,10,0,10,5,0,6
clueweb12-0408wb-39-28246,0,279,0,3,0,4,0,0,1,2,249,4,0,0,256,5,1,1,2,0,11,0,10,0,10,2
clueweb12-0202wb-03-34036,0,28,0,52,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,21,0,0,0,9,0
clueweb12-1001wb-76-11222,0,38,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,28,0
clueweb12-1508wb-03-17427,0,97,0,0,0,51,0,2,1,9,1,0,0,0,11,28,10,18,2,0,48,0,14,19,1,2
clueweb12-0010wb-62-18673,0,16,0,1,0,9,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,10,0,7,0
clueweb12-0405wb-40-25051,0,166,0,0,0,175,0,0,0,0,0,0,0,0,0,6,0,2,1,0,5,0,2,6,15,1
clueweb12-0312wb-01-17137,0,83,0,1,0,4,0,1,12,36,23,4,0,0,75,7,9,2,1,1,188,0,4,207,64,0
clueweb12-0816wb-97-12855,0,39,0,0,0,105,0,3,0,0,0,0,0,0,0,1,23,3,11,0,55,0,11,14,0,11
clueweb12-0104wb-27-11166,0,54,0,15,0,28,0,0,0,1,0,0,1,3,2,13,0,3,0,0,9,0,1,48,10,0
clueweb12-1704wb-27-01260,0,58,0,0,0,45,0,1,0,1,5,0,0,0,6,3,10,12,6,0,19,0,16,9,0,6
clueweb12-0000wb-66-33308,0,68,0,0,0,131,1,2,1,3,0,1,0,0,5,6,5,4,8,0,20,0,37,26,11,7
clueweb12-0109wb-23-28306,0,47,0,6,0,45,0,1,1,0,0,0,0,0,1,16,8,3,1,0,0,0,15,22,18,1
clueweb12-0802wb-62-17490,0,92,0,0,0,59,0,1,1,5,1,0,0,0,7,8,4,2,16,0,17,0,5,20,0,16
clueweb12-1408wb-54-09404,0,29,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,4,0
clueweb12-1911wb-68-23322,0,637,0,0,0,53,0,2,1,0,0,5,0,0,6,20,9,4,1,0,1,0,32,15,31,1
clueweb12-1021wb-19-12990,0,98,0,0,0,14,0,0,1,1,0,0,0,0,2,14,0,19,2,0,4,0,28,0,0,2
clueweb12-0600wb-45-02323,0,28,0,0,0,11,0,1,1,3,0,0,0,0,4,2,2,2,2,0,12,0,7,0,2,2
clueweb12-1416wb-48-06142,0,131,1,0,0,13,0,0,0,0,1,0,0,0,1,0,0,5,0,0,12,0,13,92,15,0
clueweb12-0006wb-79-11918,0,34,0,0,0,2,0,0,1,1,2,0,0,0,4,6,0,1,0,0,0,0,14,1,11,0
clueweb12-1909wb-35-15156,0,27,0,0,0,37,0,1,1,5,1,2,0,0,9,6,7,7,3,1,23,0,17,3,0,2
clueweb12-1712wb-84-09838,0,464,0,0,0,65,0,3,2,2,0,0,0,0,4,12,1,1,36,0,21,0,5,125,2,36
clueweb12-0813wb-04-12026,2,222,6,0,0,35,0,2,2,23,1,0,0,0,26,13,10,17,17,0,33,0,15,5,2,17
clueweb12-0004wb-65-09328,0,108,0,4,0,48,0,2,1,1,5,0,0,0,7,6,11,3,22,2,18,0,31,4,0,20
clueweb12-0300wb-22-28286,0,92,0,0,0,16,0,1,1,0,42,0,0,0,43,0,2,3,22,3,121,0,14,5,0,19
clueweb12-0305wb-48-28090,0,76,0,3,0,6,0,1,0,0,1,0,0,0,1,4,8,1,0,0,2,0,10,14,15,0
clueweb12-0202wb-16-01442,0,77,0,0,0,26,0,1,1,1,0,0,0,0,2,71,2,3,16,0,2,0,3,14,1,16
clueweb12-1904wb-91-05202,0,102,0,2,0,60,0,3,1,14,0,0,0,0,15,10,24,16,16,0,23,0,17,6,1,16
clueweb12-1401wb-95-26931,0,529,0,0,0,66,0,3,0,3,0,0,0,0,3,9,7,32,61,0,16,0,27,41,10,61
clueweb12-1605wb-78-31029,0,1455,0,0,0,27,0,1,0,0,7,4,0,0,11,2,5,2,1,0,0,0,9,4,6,1
clueweb12-0013wb-61-00825,0,55,4,41,0,5,0,1,0,0,0,0,0,0,0,4,2,0,2,0,32,0,3,11,5,2
clueweb12-0714wb-34-10870,0,152,0,0,0,70,1,3,2,0,0,0,0,0,2,38,10,1,2,0,0,0,13,2,3,1
clueweb12-1801wb-31-19552,0,62,0,59,0,7,0,0,0,0,0,0,0,0,0,66,0,1,0,0,0,0,2,0,11,0
clueweb12-0307wb-13-29826,0,71,0,1,0,51,0,2,1,0,0,0,0,0,1,5,7,4,14,2,7,0,30,5,0,12
clueweb12-0101wb-67-04315,0,243,0,0,0,73,0,1,1,7,3,0,0,0,11,5,4,23,38,0,8,0,9,2,1,38
clueweb12-1400tw-00-07032,0,259,1,0,19,37,0,1,1,0,7,0,20,0,28,7,2,78,4,0,5,0,17,271,0,4
clueweb12-0106wb-09-32864,0,239,0,0,0,469,0,7,1,4,0,0,0,0,5,27,18,6,11,0,60,0,85,58,14,11
clueweb12-1602wb-34-16170,0,4,0,3,0,7,0,1,1,1,0,0,0,0,2,2,2,1,0,0,7,0,4,0,0,0
clueweb12-1505wb-28-15822,0,63,0,1,0,104,0,3,2,2,5,1,1,0,11,26,30,12,8,2,31,0,38,22,0,6
clueweb12-0302wb-39-03262,0,45,0,7,0,6,0,4,0,1,0,1,0,0,2,9,4,0,9,0,20,0,1,2,5,9
clueweb12-1118wb-75-00690,0,12,0,2,0,4,0,0,0,0,0,0,0,0,0,19,0,0,0,0,16,0,9,0,5,0
clueweb12-0100wb-15-32305,0,62,0,21,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,46,0,0,0,5,0
clueweb12-1709wb-68-03567,0,51,0,0,0,42,0,2,1,0,2,0,5,0,8,0,10,12,3,0,34,0,14,0,0,3
clueweb12-1201wb-92-16566,0,48,0,1,0,66,0,1,1,0,0,0,0,0,1,4,4,2,1,0,0,0,6,11,1,1
clueweb12-0209wb-54-24315,0,56,0,0,0,25,0,1,1,0,1,0,0,0,2,9,2,2,4,1,28,0,7,9,0,3
clueweb12-0813wb-87-24620,0,46,0,2,0,48,0,3,1,0,2,0,0,0,3,8,14,5,0,0,2,0,12,21,9,0
clueweb12-0807wb-55-24808,0,407,0,0,0,278,0,1,2,0,4,113,0,0,119,85,17,2,25,0,100,0,18,103,0,25
clueweb12-0106wb-93-26473,0,271,0,118,0,12,0,0,0,0,0,0,0,0,0,172,0,2,2,0,1,0,14,3,62,2
clueweb12-1212wb-13-01530,0,4,0,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,142,0,10,0,0,0
clueweb12-1905wb-47-02207,2,121,0,2,0,95,0,0,0,7,0,0,1,13,8,7,0,10,8,0,0,0,27,5,0,8
clueweb12-1215wb-55-03877,0,119,0,9,0,136,0,4,2,6,0,0,0,0,8,25,15,11,12,0,5,0,29,40,3,12
clueweb12-0212wb-16-31586,0,34,0,14,0,43,0,0,0,0,9,1,0,0,10,73,0,1,11,0,11,0,5,0,4,11
