filename,spam
clueweb12-0001wb-60-29784,93
clueweb12-0001wb-60-29882,86
clueweb12-0001wb-60-29938,75
clueweb12-0001wb-60-30022,81
clueweb12-0001wb-65-27780,14
clueweb12-0001wb-65-27794,6
clueweb12-0001wb-67-14788,11
clueweb12-0001wb-67-17238,13
clueweb12-0001wb-67-17336,1
clueweb12-0001wb-68-14546,89
clueweb12-0001wb-68-14700,13
clueweb12-0001wb-69-13622,49
clueweb12-0001wb-69-28861,61
clueweb12-0001wb-70-13300,88
clueweb12-0001wb-70-28613,18
clueweb12-0001wb-71-08231,83
clueweb12-0001wb-71-08371,85
clueweb12-0001wb-71-08427,79
clueweb12-0001wb-72-18276,25
clueweb12-0001wb-74-16804,50
clueweb12-0001wb-75-14437,3
clueweb12-0001wb-76-09320,63
clueweb12-0001wb-76-17780,5
clueweb12-0001wb-78-24777,36
clueweb12-0001wb-79-02603,29
clueweb12-0001wb-79-07835,86
clueweb12-0001wb-79-16207,38
clueweb12-0001wb-79-18528,8
clueweb12-0001wb-81-00153,31
clueweb12-0001wb-81-32822,9
clueweb12-0001wb-81-32836,5
clueweb12-0001wb-81-32850,12
clueweb12-0001wb-83-20415,0
clueweb12-0001wb-83-34019,61
clueweb12-0001wb-83-37955,90
clueweb12-0001wb-84-03138,97
clueweb12-0001wb-84-24860,89
clueweb12-0001wb-85-16744,94
clueweb12-0001wb-85-16786,77
clueweb12-0001wb-85-16982,85
clueweb12-0001wb-85-20664,9
clueweb12-0001wb-85-33266,3
clueweb12-0001wb-86-20179,86
clueweb12-0001wb-86-27404,49
clueweb12-0001wb-88-04269,32
clueweb12-0001wb-88-24692,35
clueweb12-0001wb-89-28534,98
clueweb12-0001wb-90-05363,95
clueweb12-0001wb-91-10255,70
clueweb12-0001wb-92-35094,95
clueweb12-0001wb-93-16870,92
clueweb12-0001wb-93-19992,99
clueweb12-0001wb-93-28829,97
clueweb12-0001wb-94-14039,7
clueweb12-0001wb-94-14053,15
clueweb12-0001wb-95-29256,33
clueweb12-0001wb-96-00965,12
clueweb12-0001wb-96-01091,10
clueweb12-0001wb-96-02787,26
clueweb12-0001wb-96-27114,91
clueweb12-0001wb-96-39613,8
clueweb12-0001wb-98-36244,69
clueweb12-0001wb-98-37812,64
clueweb12-0001wb-99-02393,60
clueweb12-0001wb-99-02939,92
clueweb12-0001wb-99-30565,90
clueweb12-0001wb-99-33771,7
clueweb12-0002wb-00-21357,82
clueweb12-0002wb-01-07238,39
clueweb12-0002wb-01-23479,47
clueweb12-0002wb-02-07931,70
clueweb12-0002wb-02-27795,97
clueweb12-0002wb-02-28369,35
clueweb12-0002wb-02-30640,24
clueweb12-0002wb-04-05809,63
clueweb12-0002wb-04-08119,68
clueweb12-0002wb-05-10569,90
clueweb12-0002wb-06-21050,14
clueweb12-0002wb-06-21078,7
clueweb12-0002wb-08-37111,8
clueweb12-0002wb-09-07521,83
clueweb12-0002wb-09-08278,93
clueweb12-0002wb-09-15015,73
clueweb12-0002wb-10-00377,76
clueweb12-0002wb-10-00545,75
clueweb12-0002wb-10-00755,80
clueweb12-0002wb-10-14995,93
clueweb12-0002wb-11-00125,17
clueweb12-0002wb-11-08460,98
clueweb12-0002wb-11-11162,37
clueweb12-0002wb-12-16360,2
clueweb12-0002wb-14-08151,78
clueweb12-0002wb-19-03597,76
clueweb12-0002wb-19-23177,9
clueweb12-0002wb-19-33090,91
clueweb12-0002wb-19-33202,88
clueweb12-0002wb-19-35008,75
clueweb12-0002wb-20-18250,25
clueweb12-0002wb-22-21867,26
clueweb12-0002wb-23-39734,52
clueweb12-0002wb-27-08484,98
clueweb12-0002wb-29-17402,13
clueweb12-0002wb-29-18739,49
clueweb12-0002wb-31-11133,5
clueweb12-0002wb-32-25600,90
clueweb12-0002wb-32-26160,63
clueweb12-0002wb-32-29632,86
clueweb12-0002wb-34-07013,82
clueweb12-0002wb-34-07391,92
clueweb12-0002wb-34-12881,77
clueweb12-0002wb-34-16031,83
clueweb12-0002wb-34-36151,54
clueweb12-0002wb-34-36823,87
clueweb12-0002wb-35-12252,90
clueweb12-0002wb-36-30759,5
clueweb12-0002wb-37-24460,14
clueweb12-0002wb-37-24474,9
clueweb12-0002wb-38-02477,69
clueweb12-0002wb-38-12462,23
clueweb12-0002wb-38-12966,43
clueweb12-0002wb-39-10166,7
clueweb12-0002wb-39-33179,22
clueweb12-0002wb-40-00883,91
clueweb12-0002wb-40-01615,74
clueweb12-0002wb-40-18081,33
clueweb12-0002wb-40-26406,67
clueweb12-0002wb-41-14925,97
clueweb12-0002wb-41-15789,73
clueweb12-0002wb-44-01567,85
clueweb12-0002wb-44-04777,84
clueweb12-0002wb-44-04791,94
clueweb12-0002wb-44-28930,92
clueweb12-0002wb-45-25913,78
clueweb12-0002wb-45-26291,89
clueweb12-0002wb-46-03458,83
clueweb12-0002wb-47-33001,24
clueweb12-0002wb-48-17473,5
clueweb12-0002wb-49-20039,41
clueweb12-0002wb-50-09226,12
clueweb12-0002wb-50-19532,49
clueweb12-0002wb-52-12673,0
clueweb12-0002wb-53-02285,44
clueweb12-0002wb-54-10536,94
clueweb12-0002wb-54-13190,30
clueweb12-0002wb-55-10711,48
clueweb12-0002wb-55-16750,20
clueweb12-0002wb-55-30054,95
clueweb12-0002wb-56-06692,70
clueweb12-0002wb-56-21100,36
clueweb12-0002wb-56-31679,26
clueweb12-0002wb-58-00265,2
clueweb12-0002wb-58-24250,72
clueweb12-0002wb-58-25678,24
clueweb12-0002wb-58-34023,78
clueweb12-0002wb-58-34709,83
clueweb12-0002wb-58-35157,71
clueweb12-0002wb-59-22645,73
clueweb12-0002wb-62-28672,6
clueweb12-0002wb-65-07958,7
clueweb12-0002wb-67-12142,18
clueweb12-0002wb-68-01805,63
clueweb12-0002wb-68-28916,30
clueweb12-0002wb-69-23801,50
clueweb12-0002wb-70-07941,50
clueweb12-0002wb-70-11147,15
clueweb12-0002wb-70-20285,93
clueweb12-0002wb-71-16520,45
clueweb12-0002wb-71-17501,46
clueweb12-0002wb-72-30425,24
clueweb12-0002wb-72-30775,31
clueweb12-0002wb-72-32175,57
clueweb12-0002wb-73-19323,19
clueweb12-0002wb-73-25281,88
clueweb12-0002wb-74-22979,94
clueweb12-0002wb-77-19811,73
clueweb12-0002wb-79-09366,94
clueweb12-0002wb-79-19615,7
clueweb12-0002wb-79-20777,13
clueweb12-0002wb-81-03485,95
clueweb12-0002wb-81-06137,78
clueweb12-0002wb-81-07187,56
clueweb12-0002wb-85-09420,29
clueweb12-0002wb-85-10372,84
clueweb12-0002wb-87-07042,99
clueweb12-0002wb-88-12585,96
clueweb12-0002wb-89-19718,59
clueweb12-0002wb-90-06621,43
clueweb12-0002wb-90-33050,11
clueweb12-0002wb-92-09999,50
clueweb12-0002wb-92-13373,86
clueweb12-0002wb-92-17405,9
clueweb12-0002wb-94-21163,17
clueweb12-0002wb-95-03822,2
clueweb12-0002wb-95-05895,22
clueweb12-0002wb-96-33319,66
clueweb12-0002wb-97-13680,91
clueweb12-0002wb-97-17488,78
clueweb12-0002wb-97-20288,78
clueweb12-0002wb-98-08978,85
clueweb12-0002wb-98-23246,8
clueweb12-0002wb-98-26710,28
clueweb12-0003wb-01-00364,13
clueweb12-0003wb-02-14339,88
clueweb12-0003wb-03-03585,94
clueweb12-0003wb-03-07645,15
clueweb12-0003wb-03-32216,1
clueweb12-0003wb-04-14322,72
clueweb12-0003wb-04-20822,18
clueweb12-0003wb-04-20836,32
clueweb12-0003wb-04-21984,47
clueweb12-0003wb-05-15276,4
clueweb12-0003wb-06-14575,23
clueweb12-0003wb-06-33281,7
clueweb12-0003wb-08-06807,56
clueweb12-0003wb-08-14872,34
clueweb12-0003wb-08-21330,9
clueweb12-0003wb-09-08399,83
clueweb12-0003wb-09-23171,74
clueweb12-0003wb-09-30717,90
clueweb12-0003wb-10-19977,87
clueweb12-0003wb-11-16146,74
clueweb12-0003wb-11-25250,37
clueweb12-0003wb-12-29368,78
clueweb12-0003wb-13-16996,87
clueweb12-0003wb-13-21018,47
clueweb12-0003wb-15-05489,96
clueweb12-0003wb-15-06189,32
clueweb12-0003wb-16-33766,26
clueweb12-0003wb-18-05825,79
clueweb12-0003wb-18-16256,43
clueweb12-0003wb-18-16816,49
clueweb12-0003wb-18-26687,96
clueweb12-0003wb-18-28983,41
clueweb12-0003wb-19-15560,73
clueweb12-0003wb-21-34724,7
clueweb12-0003wb-21-37342,7
clueweb12-0003wb-22-07045,82
clueweb12-0003wb-22-10699,11
clueweb12-0003wb-22-11007,76
clueweb12-0003wb-22-13583,85
clueweb12-0003wb-23-03919,91
clueweb12-0003wb-23-04199,82
clueweb12-0003wb-23-04409,75
clueweb12-0003wb-23-28493,2
clueweb12-0003wb-24-03588,82
clueweb12-0003wb-24-14189,6
clueweb12-0003wb-29-12223,30
clueweb12-0003wb-29-15881,72
clueweb12-0003wb-29-15895,57
clueweb12-0003wb-31-13987,51
clueweb12-0003wb-33-06358,72
clueweb12-0003wb-33-10307,17
clueweb12-0003wb-33-10503,40
clueweb12-0003wb-33-25609,17
clueweb12-0003wb-34-01791,90
clueweb12-0003wb-34-16494,19
clueweb12-0003wb-36-16834,99
clueweb12-0003wb-36-17702,12
clueweb12-0003wb-36-20348,11
clueweb12-0003wb-36-29002,81
clueweb12-0003wb-36-29016,82
clueweb12-0003wb-36-29534,82
clueweb12-0003wb-36-34980,90
clueweb12-0003wb-37-02085,81
clueweb12-0003wb-38-09254,24
clueweb12-0003wb-39-11553,93
clueweb12-0003wb-40-22119,74
clueweb12-0003wb-42-12670,88
clueweb12-0003wb-42-18313,3
clueweb12-0003wb-42-23485,52
clueweb12-0003wb-43-04495,16
clueweb12-0003wb-44-14587,3
clueweb12-0003wb-46-08232,5
clueweb12-0003wb-46-08288,14
clueweb12-0003wb-46-16759,66
clueweb12-0003wb-46-40269,4
clueweb12-0003wb-48-06836,28
clueweb12-0003wb-49-12910,71
clueweb12-0003wb-49-12924,26
clueweb12-0003wb-49-13344,71
clueweb12-0003wb-49-14338,75
clueweb12-0003wb-49-16481,76
clueweb12-0003wb-49-27838,1
clueweb12-0003wb-50-25667,0
clueweb12-0003wb-51-12653,56
clueweb12-0003wb-51-42773,3
clueweb12-0003wb-52-12323,14
clueweb12-0003wb-52-20394,0
clueweb12-0003wb-52-29368,15
clueweb12-0003wb-53-11160,70
clueweb12-0003wb-53-12244,91
clueweb12-0003wb-54-00153,69
clueweb12-0003wb-55-04382,96
clueweb12-0003wb-55-13388,83
clueweb12-0003wb-55-15614,60
clueweb12-0003wb-56-25641,15
clueweb12-0003wb-56-25655,17
clueweb12-0003wb-56-25669,6
clueweb12-0003wb-56-28161,7
clueweb12-0003wb-57-00041,71
clueweb12-0003wb-57-01427,91
clueweb12-0003wb-57-09141,2
clueweb12-0003wb-60-27106,20
clueweb12-0003wb-61-11353,77
clueweb12-0003wb-61-17868,96
clueweb12-0003wb-61-26792,13
clueweb12-0003wb-61-27577,94
clueweb12-0003wb-63-01821,57
clueweb12-0003wb-63-09299,15
clueweb12-0003wb-63-27060,5
clueweb12-0003wb-64-03905,96
clueweb12-0003wb-64-21777,2
clueweb12-0003wb-64-30949,84
clueweb12-0003wb-65-35192,0
clueweb12-0003wb-66-05165,62
clueweb12-0003wb-67-22143,53
clueweb12-0003wb-68-12575,65
clueweb12-0003wb-69-12236,71
clueweb12-0003wb-69-25123,14
clueweb12-0003wb-69-35751,71
clueweb12-0003wb-72-22987,77
clueweb12-0003wb-73-05543,8
clueweb12-0003wb-73-06369,9
clueweb12-0003wb-74-19747,20
clueweb12-0003wb-74-35419,36
clueweb12-0003wb-75-13905,95
clueweb12-0003wb-75-32820,43
clueweb12-0003wb-76-16317,83
clueweb12-0003wb-78-08977,75
clueweb12-0003wb-78-12239,82
clueweb12-0003wb-79-30199,45
clueweb12-0003wb-81-12641,91
clueweb12-0003wb-82-01736,8
clueweb12-0003wb-82-15767,35
clueweb12-0003wb-83-20302,2
clueweb12-0003wb-84-23446,55
clueweb12-0003wb-84-27912,97
clueweb12-0003wb-85-16984,92
clueweb12-0003wb-85-24847,45
clueweb12-0003wb-85-26821,51
clueweb12-0003wb-87-00447,39
clueweb12-0003wb-87-05767,26
clueweb12-0003wb-89-26366,13
clueweb12-0003wb-90-01021,66
clueweb12-0003wb-90-30395,33
clueweb12-0003wb-90-37440,73
clueweb12-0003wb-91-15938,51
clueweb12-0003wb-91-22490,86
clueweb12-0003wb-91-22868,63
clueweb12-0003wb-94-23308,65
clueweb12-0003wb-96-05055,2
clueweb12-0003wb-98-39652,20
clueweb12-0003wb-99-15845,3
clueweb12-0004wb-00-04717,77
clueweb12-0004wb-00-24746,60
clueweb12-0004wb-01-06327,76
clueweb12-0004wb-01-13912,88
clueweb12-0004wb-02-02239,0
clueweb12-0004wb-04-27282,10
clueweb12-0004wb-04-27296,7
clueweb12-0004wb-04-27940,94
clueweb12-0004wb-05-20219,83
clueweb12-0004wb-05-20807,5
clueweb12-0004wb-07-06845,96
clueweb12-0004wb-08-03583,62
clueweb12-0004wb-08-12113,29
clueweb12-0004wb-10-09003,11
clueweb12-0004wb-11-05440,87
clueweb12-0004wb-12-27503,27
clueweb12-0004wb-12-28217,20
clueweb12-0004wb-13-03710,72
clueweb12-0004wb-13-15246,62
clueweb12-0004wb-14-07602,93
clueweb12-0004wb-14-31383,0
clueweb12-0004wb-15-33646,38
clueweb12-0004wb-16-21874,94
clueweb12-0004wb-17-05012,32
clueweb12-0004wb-17-12979,34
clueweb12-0004wb-19-02253,50
clueweb12-0004wb-19-22834,0
clueweb12-0004wb-20-09281,19
clueweb12-0004wb-22-03723,0
clueweb12-0004wb-24-04397,60
clueweb12-0004wb-24-32284,62
clueweb12-0004wb-25-20442,22
clueweb12-0004wb-25-31912,86
clueweb12-0004wb-25-33410,71
clueweb12-0004wb-26-25118,79
clueweb12-0004wb-28-13613,24
clueweb12-0004wb-28-20184,19
clueweb12-0004wb-28-20296,19
